year,pa_theta,sep_rho,n,o-c deg,o-c arcsec,weight,source,bibcode
1851.06,160,3,1,0.6,-0.599,1.1,Dawes 1867,1833MmRAS...5..135D
1851.22,159.8,3.89,4,0.7,0.269,4.3,Struve 1878,
1855.06,158,4.11,6,4.1,0.04,5.6,Struve 1878,
1864.84,147.6,4.46,2,4.3,0.032,3.5,Struve 1878,
1864.85,147.61,4.455,2,4.3,0.027,2.1,Winnecke 1869,1869AN.....73..145W
1866.96,145.4,4.32,3,4.3,-0.062,4.1,Struve 1878,
1873.85,137.3,4.29,5,4.1,0.262,5.3,Struve 1878,
1875.9,136.6,4.3,1,6.1,0.42,0,Lewis 1906,"1906MmRAS..56....1L A,B"
1877.12,126.4,4.24,2,-2.4,0.453,3.3,Struve 1893,
1877.12,120,2,1,-8.8,-1.787,0,Flammarion 1878,"A,C"
1877.79,129.2,3.46,2,1.3,-0.274,1.9,Stone 1878,1878PCinO...4D...1S D
1877.86,128.2,3.92,7,0.4,0.192,16.3,Burnham 1879,1879MmRAS..44..141B
1877.87,127.6,3.18,2,-0.2,-0.547,2.9,Howe 1878,1878PCinO...4D...1H
1877.95,126.8,3.94,4,-0.8,0.219,7,Dembowski 1884,
1879.05,125.4,3.66,4,-0.6,0.029,11.4,Burnham 1883,1883MmRAS..47..167B
1879.181,125,3.52,2,-0.8,-0.101,11.6,Hall 1877,E
1879.68,123,3.64,2,-2,0.06,3.7,Burnham 1887,1887PLicO...1...24B
1879.75,119.3,3.29,1,-5.6,-0.284,1.3,Stone 1882,1882PCinO...6D...1S
1880.09,121.3,3.28,5,-3,-0.266,11.5,Burnham 1883,1883MmRAS..47..167B
1880.95,122,3.16,5,-0.9,-0.314,11.1,Burnham 1883,1883MmRAS..47..167B
1881.84,119,3.53,6,-2.4,0.131,13.5,Burnham 1883,1883MmRAS..47..167B
1882.119,118.2,3.24,2,-2.7,-0.135,10.3,Hall 1892,1892USNOO...6E...1H E
1883,119.2,3.07,2,-0.1,-0.231,6.8,Burnham 1883,1883MmRAS..47..167B
1883.807,115.8,3.1,2,-1.9,-0.133,9.8,Hall 1892,1892USNOO...6E...1H E
1884.16,118.2,3.74,1,1.2,0.536,2.1,Struve 1893,
1886,111.9,3.14,2,-1.3,0.087,9.6,Leavenworth and Beal 1930,1930mds..book.....L
1886.002,112.2,3.22,3,-1,0.167,12.1,Leavenworth and Muller 1915,1915PMcCO...1...45L E
1886.095,112.2,3,6,-0.8,-0.045,16.2,Hall 1892,1892USNOO...6E...1H E
1886.92,111,3.01,3,-0.1,0.031,2.6,Tarrant 1889,1889AN....121..273T
1887.14,109.2,2.56,4,-1.4,-0.402,8.7,Schiaparelli 1909,
1888.08,109.5,2.26,2,1.1,-0.63,5.7,Schiaparelli 1909,
