# version=2017
# observatory
! mpcCode G40
! name Slooh.com Canary Islands Observatory
# submitter
! name C. J. R. McEwing
# observers
! name C. J. R. McEwing
# measurers
! name C. J. R. McEwing
# telescope
! design 17" Corrected Dall-Kirkham
! aperture 0.43
! fRatio 6.8
! detector CCD
# software
! astrometry Astrometrica 4.12.0.448
! photometry Astrometrica 4.12.0.448
COM interstellar
permID |provID     |trkSub  |mode|stn |obsTime                |ra         |dec        |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
       |           | BORISOV| CCD|G40 |2019-09-19T05:35:36Z   |136.118032 |+27.551425 |0.129|0.120 |   UCAC4|18.24|0.089 |   V|   UCAC4| 9.5  |1.25  |3.8   |1000|0.09  |   166|K    |Bernd L & Cameron M
       |           | BORISOV| CCD|G40 |2019-09-21T05:45:10Z   |137.055485 |+26.849589 |0.178|0.206 |   UCAC4|17.71|0.195 |   V|   UCAC4| 9.5  |1.49  |5.3   | 750|0.18  |   167|K    |Cameron M
       |           | BORISOV| CCD|G40 |2019-09-22T05:27:48Z   |137.516475 |+26.497145 |0.137|0.121 |   UCAC4|17.73|0.063 |   V|   UCAC4| 9.5  |1.64  |4.5   |1200|0.10  |   183|K    |Jarmo R & Cameron M
       |           | BORISOV| CCD|G40 |2019-09-28T05:25:23Z   |140.311048 |+24.255121 |0.125|0.132 |   UCAC4|18.27|0.080 |   V|   UCAC4| 9.5  |1.46  |4.6   | 900|0.13  |   171|K    |Bernd L & Cameron M
       |           | BORISOV| CCD|G40 |2019-10-05T05:38:24Z   |143.56075  |+21.40167  |0.08 |0.07  |   UCAC4|18.0 |0.06  |   V|   UCAC4|10.8  |1.58  |5.0   | 650|0.07  |    25|K    |Paul Cox
       |           | BORISOV| CCD|G40 |2019-10-14T05:42:56Z   |147.704232 |+17.335134 |0.356|0.353 |   UCAC4|17.19|0.097 |   V|   UCAC4| 9.5  |1.34  |4.9   | 300|0.12  |    99|K    |Mario R & Cameron M
       |           | BORISOV| CCD|G40 |2019-10-14T06:03:20Z   |147.71081  |+17.32849  |0.30 |0.30  |   UCAC4|17.0 |0.08  |   V|   UCAC4|10.8  |1.47  |4.6   | 300|0.13  |    77|K    |Paul Cox
       |           | BORISOV| CCD|G40 |2019-10-16T04:47:39Z   |148.602102 |+16.385157 |0.234|0.213 |   UCAC4|17.41|0.258 |   V|   UCAC4| 9.5  |1.26  |5.5   | 300|0.24  |   102|K    |Bernd L & Cameron M
       |           | BORISOV| CCD|G40 |2019-12-01T05:53:00Z   |169.00592  |-12.74736  |0.11 |0.08  |   UCAC4|17.6 |0.06  |   V|   UCAC4|10.8  |1.75  |3.5   | 700|0.13  |   138|K    |Nirmal P
       |           | BORISOV| CCD|G40 |2019-12-10T06:23:00Z   |172.79488  |-19.64031  |0.13 |0.12  |   UCAC4|17.0 |0.05  |   V|   UCAC4|10.8  |1.70  |4.6   | 350|0.10  |   148|K    |Martin VD


