Date,RA,DEC
2022-03-05,14 52 26.7,+09 34 44
2022-03-06,14 53 39.1,+09 39 39
2022-03-07,14 54 50.7,+09 44 43
2022-03-08,14 56 01.3,+09 49 56
2022-03-09,14 57 11.0,+09 55 19
2022-03-10,14 58 19.7,+10 00 49
2022-03-11,14 59 27.5,+10 06 29
2022-03-12,15 00 34.3,+10 12 17
2022-03-13,15 01 40.0,+10 18 13
2022-03-14,15 02 44.8,+10 24 17
2022-03-15,15 03 48.4,+10 30 29
2022-03-16,15 04 51.0,+10 36 48
2022-03-17,15 05 52.5,+10 43 15
2022-03-18,15 06 52.9,+10 49 49
2022-03-19,15 07 52.1,+10 56 30
2022-03-20,15 08 50.1,+11 03 18
2022-03-21,15 09 46.8,+11 10 12
2022-03-22,15 10 42.3,+11 17 12
2022-03-23,15 11 36.5,+11 24 19
2022-03-24,15 12 29.4,+11 31 31
2022-03-25,15 13 20.9,+11 38 48
2022-03-26,15 14 10.9,+11 46 10
2022-03-27,15 14 59.5,+11 53 36
2022-03-28,15 15 46.6,+12 01 06
2022-03-29,15 16 32.2,+12 08 39
2022-03-30,15 17 16.1,+12 16 15
2022-03-31,15 17 58.5,+12 23 52
2022-04-01,15 18 39.3,+12 31 31
2022-04-02,15 19 18.3,+12 39 09
2022-04-03,15 19 55.7,+12 46 48
2022-04-04,15 20 31.3,+12 54 24
2022-04-05,15 21 05.2,+13 01 59
2022-04-06,15 21 37.3,+13 09 30
2022-04-07,15 22 07.5,+13 16 57
2022-04-08,15 22 35.9,+13 24 19
2022-04-09,15 23 02.4,+13 31 35
2022-04-10,15 23 27.0,+13 38 43
2022-04-11,15 23 49.6,+13 45 42
2022-04-12,15 24 10.2,+13 52 32
2022-04-13,15 24 28.7,+13 59 10
2022-04-14,15 24 45.2,+14 05 36
2022-04-15,15 24 59.5,+14 11 48
2022-04-16,15 25 11.5,+14 17 45
2022-04-17,15 25 21.3,+14 23 24
2022-04-18,15 25 28.7,+14 28 45
2022-04-19,15 25 33.6,+14 33 45
2022-04-20,15 25 36.0,+14 38 23
2022-04-21,15 25 35.8,+14 42 35
2022-04-22,15 25 32.7,+14 46 20
2022-04-23,15 25 26.8,+14 49 35
2022-04-24,15 25 17.9,+14 52 16
2022-04-25,15 25 05.8,+14 54 20
2022-04-26,15 24 50.4,+14 55 43
2022-04-27,15 24 31.6,+14 56 22
2022-04-28,15 24 09.1,+14 56 10
2022-04-29,15 23 42.8,+14 55 04
2022-04-30,15 23 12.5,+14 52 57
2022-05-01,15 22 38.0,+14 49 42
2022-05-02,15 21 58.8,+14 45 12
2022-05-03,15 21 14.8,+14 39 18
2022-05-04,15 20 25.5,+14 31 52
2022-05-05,15 19 30.6,+14 22 40
2022-05-06,15 18 29.3,+14 11 32
2022-05-07,15 17 21.2,+13 58 10
2022-05-08,15 16 05.5,+13 42 17
2022-05-09,15 14 41.2,+13 23 32
2022-05-10,15 13 07.2,+13 01 27
2022-05-11,15 11 22.1,+12 35 32
2022-05-12,15 09 24.1,+12 05 07
2022-05-13,15 07 11.1,+11 29 22
2022-05-14,15 04 40.1,+10 47 15
2022-05-15,15 01 47.7,+09 57 26
2022-05-16,14 58 28.9,+08 58 09
2022-05-17,14 54 37.5,+07 47 07
2022-05-18,14 50 04.8,+06 21 09
2022-05-19,14 44 38.9,+04 36 00
2022-05-20,14 38 02.9,+02 25 36
2022-05-21,14 29 52.0,-00 18 30
2022-05-22,14 19 28.8,-03 48 26
2022-05-23,14 05 54.9,-08 21 03
2022-05-24,13 47 34.9,-14 18 18
2022-05-25,13 21 49.0,-22 02 13
2022-05-26,12 44 10.6,-31 34 31
2022-05-27,11 48 08.0,-41 50 38
2022-05-28,10 29 05.8,-50 09 21
