Group,Time,Target,Obs,RA,rmsRA,Dec,rmsDEC
1,2022-03-12T05:47:35Z,7335,G40,225.140433,0.128,10.203681,0.122
1,2022-03-12T05:49:17Z,7335,W88,225.14325,0.134,10.207106,0.129
2,2022-03-13T06:02:46Z,7335,G40,225.41717,0.136,10.303609,0.138
2,2022-03-13T06:02:54Z,7335,W88,225.419889,0.139,10.306975,0.139
3,2022-04-07T05:21:44Z,7335,G40,230.52884,0.08,13.2793,0.05
3,2022-04-07T05:23:20Z,7335,W88,230.53349,0.07,13.28507,0.07
4,2022-04-08T05:19:31Z,7335,G40,230.64728,0.11,13.40192,0.08
4,2022-04-08T05:18:47Z,7335,W88,230.65191,0.05,13.40761,0.08
5,2022-04-09T05:18:33Z,7335,G40,230.75783,0.08,13.52276,0.05
5,2022-04-09T05:19:02Z,7335,W88,230.7627,0.05,13.52877,0.05
