2017 03 01.36672,10 23 22.28,+38 37 05.1,20.2 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 01.36830,10 23 22.15,+38 37 05.5,20.4 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 01.37781,10 23 21.03,+38 37 09.2,20.5 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 01.38200,10 23 20.55,+38 37 10.8,20.5 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 01.38206,10 23 20.61,+38 37 10.1,20.8 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 01.38709,10 23 20.09,+38 37 12.5,20.4 r,"G45 – Space Surveillance Telescope, Atom Site",MPS 772487,
2017 03 05.38000,10 16 16.10,+39 00 15.2,19.6 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 05.38732,10 16 15.41,+39 00 17.4, ,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 05.39454,10 16 14.65,+39 00 19.4,20.2 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 05.40170,10 16 13.90,+39 00 21.6,20.3 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 07.22282,10 13 03.55,+39 08 18.5,20.4 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 07.22996,10 13 02.81,+39 08 20.1,20.4 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 07.23703,10 13 02.05,+39 08 21.6,20.3 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 07.24413,10 13 01.25,+39 08 23.9,20.4 V,G96 – Mt. Lemmon Survey,MPS 776178,
2017 03 23.14858,09 48 37.62,+39 10 54.8, ,G96 – Mt. Lemmon Survey,MPS 779319,
2017 03 23.15402,09 48 37.24,+39 10 53.1,20.6 V,G96 – Mt. Lemmon Survey,MPS 779319,
2017 03 23.15837,09 48 36.96,+39 10 52.3,20.5 V,G96 – Mt. Lemmon Survey,MPS 779319,
2017 03 31.19132,09 39 58.62,+38 32 00.2,20.9 V,G96 – Mt. Lemmon Survey,MPS 782530,
2017 03 31.19559,09 39 58.40,+38 31 58.2,20.6 V,G96 – Mt. Lemmon Survey,MPS 782530,
2017 03 31.19985,09 39 58.12,+38 31 56.9,21.0 V,G96 – Mt. Lemmon Survey,MPS 782530,
2017 03 31.20412,09 39 57.90,+38 31 54.4,20.7 V,G96 – Mt. Lemmon Survey,MPS 782530,
2019 01 03.48300,08 38 54.022,+38 11 32.51,21.3 w,"F51 – Pan-STARRS 1, Haleakala",MPS 954179,
2019 01 03.49492,08 38 53.025,+38 11 39.95,21.4 w,"F51 – Pan-STARRS 1, Haleakala",MPS 954179,
2019 01 03.50696,08 38 52.043,+38 11 47.20,21.4 w,"F51 – Pan-STARRS 1, Haleakala",MPS 954179,
2019 01 03.51899,08 38 51.041,+38 11 54.67,21.5 w,"F51 – Pan-STARRS 1, Haleakala",MPS 954179,
2019 01 09.38033,08 30 26.98,+39 09 33.7,21.4 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 09.38574,08 30 26.55,+39 09 35.9,20.9 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 09.39107,08 30 25.95,+39 09 40.0,21.5 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 09.39637,08 30 25.51,+39 09 41.3, ,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 28.27879,07 59 06.51,+41 19 24.7,21.6 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 28.28398,07 59 06.03,+41 19 26.4,21.6 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 28.28918,07 59 05.43,+41 19 27.2,21.3 G,G96 – Mt. Lemmon Survey,MPS 954179,
2019 01 28.29442,07 59 04.88,+41 19 28.1,21.6 G,G96 – Mt. Lemmon Survey,MPS 954179,
2021 01 04.240407,05 38 08.05,+36 20 27.7,21.16 G,G96 – Mt. Lemmon Survey,MPS 1331600,
2021 01 04.245624,05 38 07.57,+36 20 28.4,20.88 G,G96 – Mt. Lemmon Survey,MPS 1331600,
2021 01 04.250842,05 38 07.03,+36 20 28.0,21.38 G,G96 – Mt. Lemmon Survey,MPS 1331600,
2022 01 07.549745,13 28 42.64,+09 13 12.3,22.24 G,G96 – Mt. Lemmon Survey,MPS 1535608,
2022 01 07.552551,13 28 42.91,+09 13 12.3,21.62 G,G96 – Mt. Lemmon Survey,MPS 1535608,
2022 01 07.555350,13 28 43.19,+09 13 12.0,21.67 G,G96 – Mt. Lemmon Survey,MPS 1535608,
2022 01 07.558150,13 28 43.45,+09 13 10.6,21.57 G,G96 – Mt. Lemmon Survey,MPS 1535608,
2022 02 03.580784,14 11 22.720,+08 23 04.03,20.48 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1541174,
2022 02 03.592328,14 11 23.747,+08 23 03.97,20.51 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1541174,
2022 02 03.603866,14 11 24.758,+08 23 04.15,20.55 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1541174,
2022 02 03.615446,14 11 25.775,+08 23 04.29,20.65 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1541174,
2022 02 06.510176,14 15 46.50,+08 23 50.6,20.70 G,G96 – Mt. Lemmon Survey,MPS 1552406,
2022 02 06.515335,14 15 46.95,+08 23 50.9,20.47 G,G96 – Mt. Lemmon Survey,MPS 1552406,
2022 02 06.520506,14 15 47.39,+08 23 50.9,20.22 G,G96 – Mt. Lemmon Survey,MPS 1552406,
2022 02 27.422630,14 45 07.79,+09 09 14.4,19.51 r,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 02 27.443222,14 45 09.31,+09 09 19.4,19.62 G,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.453764,14 45 10.05,+09 09 21.3,19.23 G,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.459030,14 45 10.57,+09 09 22.8, ,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.462500,14 45 10.78,+09 09 24.2,19.49 i,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 02 28.495785,14 46 30.919,+09 13 32.86,19.45 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1561633,
2022 02 28.520138,14 46 32.712,+09 13 38.90,19.50 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1561633,
