"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
49400,17.83,0.9671,162.26,58.42,111.33,38.38,2449400.5,0.586,2446467.40,7428
57296,2.215,0.8483,11.78,334.57,186.55,202.74,2457296.5,0.336,2457822.54,2751
-9480,3.535,0.7513,13.22,250.67,221.66,0.95,2390520.5,0.879,2390514.12,26
58426,3.787,0.5874,8.27,195.52,205.54,221.48,2458426.5,1.562,2459462.19,3311
7440,3.101,0.8098,29.38,102.97,14.95,0.17,2407440.5,0.590,2407439.53,127
59301,3.497,0.6127,19.51,138.94,178.11,333.81,2459301.5,1.355,2459475.29,1084
57096,3.419,0.6376,22.33,93.42,172.51,6.78,2457096.5,1.239,2457053.03,1657
54682,5.7,0.8198,54.98,270.34,207.51,13.76,2454682.5,1.027,2454492.52,1759
54129,3.123,0.5175,10.53,68.93,178.89,102.28,2454129.5,1.507,2453556.88,10784
56293,3.065,0.5363,12.03,117.80,195.56,167.43,2456293.5,1.421,2455381.95,4317
58783,3.289,0.5774,14.44,238.99,167.76,294.56,2458783.5,1.390,2459179.50,1167
39405,16.99,0.9542,74.70,255.96,199.09,63.58,2439405.5,0.778,2434885.68,393
35760,16.91,0.9303,44.61,86.10,64.64,1.66,2435760.5,1.178,2435643.64,91
55880,4.247,0.3575,27.94,202.11,159.20,111.53,2455880.5,2.729,2454890.11,361
57327,3.49,0.7202,6.80,13.75,347.63,46.69,2457327.5,0.977,2457018.57,1655
57526,3.373,0.5681,4.30,159.33,220.09,112.13,2457526.5,1.457,2456821.80,253
57656,3.626,0.4303,19.07,326.77,24.73,130.36,2457656.5,2.066,2456743.32,2185
40240,3.56,0.6426,17.76,240.88,166.05,11.51,2440240.5,1.272,2440162.04,16
57520,3.602,0.6256,30.37,75.34,353.48,50.33,2457520.5,1.349,2457171.44,2293
20080,15.64,0.9198,40.89,348.01,57.08,359.72,2420080.5,1.254,2420098.29,201
58063,3.5,0.7105,32.00,195.41,172.81,313.61,2458063.5,1.013,2458371.77,1987
56078,3.457,0.5444,4.72,120.87,162.67,169.04,2456078.5,1.575,2454976.18,3682
47800,17.07,0.9720,19.33,311.59,129.61,0.27,2447800.5,0.479,2447781.44,223
57350,4.086,0.7048,11.73,79.67,58.00,273.65,2457350.5,1.206,2458074.26,832
24960,3.089,0.5668,10.64,328.72,193.70,11.58,2424960.5,1.338,2424896.72,55
55316,3.039,0.6336,22.39,211.65,1.65,142.75,2455316.5,1.114,2454549.16,412
56364,9.236,0.9190,28.97,250.63,196.03,20.62,2456364.5,0.748,2455777.39,154
