wave_um,flux_jy,filter
0.1529007283113174,1.91e-06,GALEX:FUV
0.23119646641474512,1.91e-06,GALEX:NUV
0.3519021246126397,6.26e-06,SDSS:u
0.3519021246126397,4.08e-07,SDSS:u
0.3519021246126397,4.03e-07,SDSS:u
0.3519021246126397,6.34e-06,SDSS:u
0.3519021246126397,7.33e-06,SDSS:u
0.40200128461280593,0.0671,HIP:Hp
0.4680015891848013,2.09e-05,POSS-II:J
0.47722454313912765,0.000171,PAN-STARRS/PS1:g
0.47722454313912765,5.82e-06,PAN-STARRS/PS1:g
0.48199694202385923,1.43e-06,SDSS:g
0.48199694202385923,3.27e-07,SDSS:g
0.48199694202385923,1.43e-06,SDSS:g
0.48199694202385923,5.84e-06,SDSS:g
0.48199694202385923,8.57e-06,SDSS:g
0.5035989551486645,0.000106,GAIA/GAIA3:Gbp
0.5035989551486645,0.000106,GAIA/GAIA3:Gbp
0.5035989551486645,0.000134,GAIA/GAIA3:Gbp
0.5035989551486645,0.000134,GAIA/GAIA3:Gbp
0.5537049258445229,0.00572,Johnson:V
0.5537049258445229,0.000344,Johnson:V
0.5537049258445229,0.15,Johnson:V
0.5822343328801709,0.000381,GAIA/GAIA3:G
0.5822343328801709,0.000583,GAIA/GAIA3:G
0.5822343328801709,0.000372,GAIA/GAIA3:G
0.5822343328801709,0.000597,GAIA/GAIA3:G
0.6125714303228442,0.000318,PAN-STARRS/PS1:r
0.6125714303228442,0.00477,PAN-STARRS/PS1:r
0.6246977662012919,0.00032,SDSS:r
0.6246977662012919,0.000292,SDSS:r
0.6246977662012919,0.000259,SDSS:r
0.6246977662012919,7.3e-06,SDSS:r
0.6246977662012919,0.000126,SDSS:r
0.6246977662012919,7.27e-06,SDSS:r
0.6339447198139142,0.00253,Palomar/ZTF:r
0.6399941464039451,0.00133,POSS-II:F
0.7479851746506986,0.000176,PAN-STARRS/PS1:i
0.7479851746506986,0.037,PAN-STARRS/PS1:i
0.7479851746506986,0.052,PAN-STARRS/PS1:i
0.7479851746506986,6.05e-05,PAN-STARRS/PS1:i
0.7620550533807829,0.0186,GAIA/GAIA3:Grp
0.7620550533807829,0.0273,GAIA/GAIA3:Grp
0.7620550533807829,0.0186,GAIA/GAIA3:Grp
0.7620550533807829,0.0273,GAIA/GAIA3:Grp
0.7634912086792645,0.00357,SDSS:i
0.7634912086792645,6.53e-07,SDSS:i
0.7634912086792645,0.00247,SDSS:i
0.7634912086792645,0.000176,SDSS:i
0.7634912086792645,6.06e-05,SDSS:i
0.7634912086792645,6.55e-07,SDSS:i
0.7836891776023422,0.0108,POSS-II:i
0.8652018989898991,0.265,PAN-STARRS/PS1:z
0.8652018989898991,0.166,PAN-STARRS/PS1:z
0.9017941824088558,0.0221,SDSS:z
0.9017941824088558,0.0215,SDSS:z
0.9017941824088558,2.69e-06,SDSS:z
0.9017941824088558,2.69e-06,SDSS:z
0.9596429513444302,0.587,PAN-STARRS/PS1:y
0.9596429513444302,0.356,PAN-STARRS/PS1:y
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.239016606050587,2.67,2MASS:J
1.2500206729766918,2.73,Johnson:J
1.2500206729766918,2.73,Johnson:J
1.2500206729766918,2.73,Johnson:J
1.2500206729766918,3.67,Johnson:J
1.6300155393649411,76.1,Johnson:H
1.6300155393649411,76.1,Johnson:H
1.6300155393649411,76.1,Johnson:H
1.6494770729023385,76.8,2MASS:H
1.6494770729023385,76.9,2MASS:H
1.6494770729023385,76.8,2MASS:H
1.6494770729023385,76.8,2MASS:H
1.6494770729023385,76.8,2MASS:H
1.6494770729023385,76.8,2MASS:H
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.163785333814508,475,2MASS:Ks
2.1900245306450437,195,Johnson:K
2.1900245306450437,459,Johnson:K
3.350010705106716,15.4,WISE:W1
3.350010705106716,1.33e+03,WISE:W1
4.600019302768061,9e+03,WISE:W2
4.600019302768061,211,WISE:W2
11.59021333024047,4.75e+04,IRAS:12
11.999858223592042,4.75e+04,:=12um
23.880234028994742,2.31e+04,IRAS:25
61.84986032885642,5.65e+03,IRAS:60
101.94941780588996,922,IRAS:100
349.81617036172696,65,@{Freq}
349.81617036172696,73.2,@{Freq}
349.81617036172696,63.8,@{Freq}
349.81617036172696,70,@{Freq}
349.99995096608495,30,:=350um
446.99776048189904,18.2,SCUBA:450
446.99776048189904,18.5,SCUBA:450
446.99776048189904,17.8,SCUBA:450
446.99776048189904,17.8,SCUBA:450
550.077904587156,24.4,Planck:545
849.270419263456,8.34,Planck:353
855.0108604511879,9.28,SCUBA:850
855.0108604511879,9.01,SCUBA:850
855.0108604511879,9.2,SCUBA:850
855.0108604511879,9.45,SCUBA:850
855.0108604511879,6.87,SCUBA:850
855.0108604511879,6.89,SCUBA:850
1381.532064516129,3.98,@{Freq}
1381.532064516129,3.76,Planck:217
1381.532064516129,0,Planck:217
1381.532064516129,3.76,@{Freq}
1381.532064516129,3.94,@{Freq}
1381.532064516129,3.75,@{Freq}
