wavelength,flux,error
2.3595,483.91,4.41
2.35962,483.21,4.41
2.35975,482.56,4.4
2.35987,481.94,4.4
2.36,481.42,4.4
2.36012,481.02,4.4
2.36025,480.8,4.39
2.36037,480.74,4.39
2.3605,480.85,4.39
2.36063,481.16,4.39
2.36075,481.67,4.38
2.36087,482.37,4.38
2.361,483.24,4.38
2.36112,484.27,4.38
2.36125,485.39,4.37
2.36137,486.61,4.37
2.3615,487.87,4.37
2.36162,489.14,4.35
2.36175,490.41,4.35
2.36187,491.63,4.35
2.362,492.79,4.35
2.36212,493.83,4.34
2.36225,494.74,4.34
2.36238,495.49,4.34
2.3625,496.05,4.33
2.36262,496.38,4.33
2.36275,496.54,4.33
2.36287,496.52,4.32
2.363,496.4,4.32
2.36312,496.14,4.32
2.36325,495.83,4.32
2.36337,495.47,4.31
2.3635,495.09,4.31
2.36363,494.7,4.31
2.36375,494.29,4.3
2.36387,493.88,4.3
2.364,493.5,4.3
2.36413,493.1,4.29
2.36425,492.74,4.29
2.36437,492.44,4.29
2.3645,492.2,4.28
2.36462,492.07,4.28
2.36475,492.06,4.28
2.36487,492.18,4.26
2.365,492.41,4.26
2.36512,492.71,4.26
2.36525,493.06,4.25
2.36538,493.4,4.25
2.3655,493.69,4.25
2.36562,493.92,4.25
2.36575,494.1,4.24
2.36588,494.26,4.24
2.366,494.38,4.23
2.36612,494.55,4.23
2.36625,494.78,4.23
2.36637,495.1,4.22
2.3665,495.58,4.22
2.36662,496.18,4.22
2.36675,496.91,4.21
2.36687,497.74,4.21
2.367,498.66,4.21
2.36713,499.54,4.2
2.36725,500.34,4.2
2.36737,501.05,4.2
2.3675,501.61,4.18
2.36762,502.04,4.18
2.36775,502.38,4.18
2.36787,502.7,4.17
2.368,503.1,4.17
2.36812,503.58,4.16
2.36825,504.19,4.16
2.36837,504.97,4.16
2.3685,505.92,4.15
2.36862,506.96,4.15
2.36875,508.08,4.15
2.36888,509.15,4.14
2.369,510.11,4.14
2.36912,510.88,4.13
2.36925,511.42,4.13
2.36937,511.71,4.13
2.3695,511.8,4.12
2.36962,511.68,4.12
2.36975,511.47,4.12
2.36987,511.18,4.11
2.37,510.85,4.11
2.37012,510.53,4.09
2.37025,510.21,4.09
2.37037,509.85,4.09
2.3705,509.48,4.08
2.37063,509.06,4.08
2.37075,508.63,4.07
2.37087,508.21,4.07
2.371,507.84,4.07
2.37112,507.51,4.06
2.37125,507.31,4.06
2.37137,507.19,4.05
2.3715,507.24,4.05
2.37162,507.36,4.05
2.37175,507.57,4.04
2.37188,507.77,4.04
2.372,507.96,4.03
2.37212,508.05,4.03
2.37225,508.05,4.03
2.37238,507.94,4.02
2.3725,507.75,4.02
2.37262,507.51,4
2.37275,507.25,4
2.37287,507.1,4
2.373,507.04,3.99
2.37312,507.07,3.99
2.37325,507.23,3.98
2.37337,507.5,3.98
2.3735,507.83,3.98
2.37363,508.22,3.97
2.37375,508.66,3.97
2.37387,509.07,3.96
2.374,509.45,3.96
2.37413,509.75,3.95
2.37425,509.97,3.95
2.37437,510.07,3.95
2.3745,510,3.94
2.37462,509.75,3.94
2.37475,509.37,3.92
2.37487,508.85,3.92
2.375,508.21,3.92
2.37512,507.56,3.91
2.37525,506.92,3.91
2.37538,506.39,3.9
2.3755,506.01,3.9
2.37562,505.78,3.89
2.37575,505.71,3.89
2.37587,505.86,3.89
2.376,506.15,3.88
2.37612,506.55,3.88
2.37625,507.04,3.87
2.37637,507.55,3.87
2.3765,508.08,3.86
2.37662,508.53,3.86
2.37675,508.94,3.86
2.37687,509.31,3.85
2.377,509.59,3.85
2.37713,509.77,3.83
2.37725,509.85,3.83
2.37737,509.77,3.83
2.3775,509.52,3.82
2.37762,509.13,3.82
2.37775,508.56,3.81
2.37787,507.84,3.81
2.378,507.05,3.8
2.37812,506.22,3.8
2.37825,505.48,3.8
2.37837,504.92,3.79
2.3785,504.67,3.79
2.37862,504.82,3.78
2.37875,505.4,3.78
2.37888,506.35,3.78
2.379,507.64,3.77
2.37912,509.09,3.77
2.37925,510.53,3.75
2.37937,511.78,3.75
2.3795,512.66,3.75
2.37962,513.11,3.74
2.37975,513.13,3.74
2.37987,512.78,3.73
2.38,512.16,3.73
2.38013,511.36,3.73
2.38025,510.5,3.72
2.38037,509.66,3.72
2.3805,508.95,3.71
2.38063,508.38,3.71
2.38075,507.98,3.71
2.38087,507.78,3.7
2.381,507.76,3.7
2.38112,507.91,3.69
2.38125,508.21,3.69
2.38137,508.63,3.69
2.3815,509.08,3.68
2.38162,509.63,3.68
2.38175,510.14,3.68
2.38188,510.61,3.66
2.382,511.03,3.66
2.38212,511.38,3.65
2.38225,511.63,3.65
2.38238,511.81,3.65
2.3825,511.89,3.64
2.38262,511.94,3.64
2.38275,511.91,3.64
2.38287,511.83,3.63
2.383,511.66,3.63
2.38312,511.42,3.63
2.38325,511.12,3.62
2.38337,510.69,3.62
2.3835,510.18,3.62
2.38363,509.59,3.61
2.38375,508.96,3.61
2.38387,508.31,3.61
2.384,507.71,3.6
2.38412,507.23,3.6
2.38425,506.83,3.6
2.38437,506.54,3.59
2.3845,506.34,3.59
2.38462,506.17,3.59
2.38475,506.04,3.57
2.38487,505.89,3.57
2.385,505.71,3.57
2.38512,505.51,3.56
2.38525,505.27,3.56
2.38538,505.08,3.56
2.3855,504.97,3.55
2.38562,504.96,3.55
2.38575,505.15,3.55
2.38587,505.48,3.55
2.386,505.98,3.54
2.38612,506.65,3.54
2.38625,507.47,3.54
2.38637,508.38,3.53
2.3865,509.35,3.53
2.38662,510.35,3.53
2.38675,511.32,3.53
2.38687,512.23,3.52
2.387,513.02,3.52
2.38713,513.69,3.52
2.38725,514.16,3.52
2.38737,514.46,3.51
2.3875,514.55,3.51
2.38762,514.41,3.51
2.38775,514.06,3.51
2.38787,513.46,3.51
2.388,512.69,3.49
2.38812,511.74,3.49
2.38825,510.69,3.49
2.38838,509.57,3.49
2.3885,508.43,3.48
2.38862,507.31,3.48
2.38875,506.31,3.48
2.38888,505.46,3.48
2.389,504.8,3.48
2.38912,504.36,3.47
2.38925,504.1,3.47
2.38937,504.08,3.47
2.3895,504.21,3.47
2.38962,504.54,3.47
2.38975,504.94,3.47
2.38987,505.42,3.46
2.39,505.88,3.46
2.39013,506.3,3.46
2.39025,506.58,3.46
2.39037,506.66,3.46
2.3905,506.5,3.46
2.39062,506.07,3.46
2.39075,505.43,3.45
2.39087,504.57,3.45
2.391,503.62,3.45
2.39112,502.66,3.45
2.39125,501.83,3.45
2.39137,501.21,3.45
2.3915,500.84,3.45
2.39162,500.74,3.45
2.39175,500.92,3.45
2.39188,501.3,3.45
2.392,501.86,3.44
2.39212,502.49,3.44
2.39225,503.19,3.44
2.39237,503.95,3.44
2.3925,504.73,3.44
2.39262,505.59,3.44
2.39275,506.48,3.44
2.39287,507.45,3.44
2.393,508.45,3.44
2.39312,509.43,3.44
2.39325,510.37,3.44
2.39337,511.11,3.44
2.3935,511.61,3.44
2.39363,511.82,3.44
2.39375,511.7,3.44
2.39387,511.32,3.44
2.394,510.75,3.44
2.39412,510.07,3.44
2.39425,509.39,3.44
2.39437,508.78,3.44
2.3945,508.28,3.44
2.39462,507.96,3.44
2.39475,507.84,3.44
2.39488,507.95,3.44
2.395,508.28,3.44
2.39512,508.8,3.44
2.39525,509.52,3.44
2.39538,510.46,3.44
2.3955,511.54,3.44
2.39562,512.74,3.44
2.39575,513.97,3.44
2.39587,515.15,3.44
2.396,516.2,3.44
2.39612,516.96,3.44
2.39625,517.43,3.44
2.39637,517.53,3.44
2.3965,517.27,3.44
2.39663,516.68,3.44
2.39675,515.8,3.44
2.39687,514.69,3.44
2.397,513.49,3.44
2.39713,512.25,3.44
2.39725,511.13,3.44
2.39737,510.19,3.44
2.3975,509.56,3.45
2.39762,509.34,3.45
2.39775,509.57,3.45
2.39787,510.24,3.45
2.398,511.23,3.45
2.39812,512.49,3.45
2.39825,513.82,3.45
2.39838,515.04,3.45
2.3985,516.05,3.45
2.39862,516.75,3.46
2.39875,517.15,3.46
2.39887,517.27,3.46
2.399,517.17,3.46
2.39912,516.93,3.46
2.39925,516.63,3.46
2.39937,516.27,3.46
2.3995,515.93,3.46
2.39962,515.61,3.47
2.39975,515.3,3.47
2.39987,515.03,3.47
2.4,514.74,3.47
2.40013,514.43,3.47
2.40025,514.15,3.47
2.40037,513.91,3.47
2.4005,513.75,3.48
2.40062,513.78,3.48
2.40075,513.96,3.48
2.40087,514.33,3.48
2.401,514.89,3.48
2.40112,515.59,3.48
2.40125,516.42,3.49
2.40137,517.32,3.49
2.4015,518.27,3.49
2.40162,519.19,3.49
2.40175,520.1,3.49
2.40188,520.94,3.49
2.402,521.69,3.51
2.40212,522.38,3.51
2.40225,522.97,3.51
2.40237,523.48,3.51
2.4025,523.91,3.51
2.40262,524.25,3.52
2.40275,524.56,3.52
2.40287,524.82,3.52
2.403,525.02,3.52
2.40313,525.21,3.52
2.40325,525.35,3.53
2.40337,525.44,3.53
2.4035,525.48,3.53
2.40363,525.44,3.53
2.40375,525.36,3.53
2.40387,525.23,3.54
2.404,525.05,3.54
2.40412,524.89,3.54
2.40425,524.82,3.54
2.40437,524.85,3.54
2.4045,525.04,3.55
2.40462,525.47,3.55
2.40475,526.16,3.55
2.40488,527.09,3.55
2.405,528.24,3.55
2.40512,529.53,3.56
2.40525,530.81,3.56
2.40538,532,3.56
2.4055,533,3.56
2.40562,533.74,3.56
2.40575,534.2,3.57
2.40587,534.42,3.57
2.406,534.41,3.57
2.40612,534.19,3.57
2.40625,533.86,3.59
2.40637,533.46,3.59
2.4065,533.02,3.59
2.40663,532.56,3.59
2.40675,532.11,3.59
2.40687,531.69,3.6
2.407,531.3,3.6
2.40712,530.97,3.6
2.40725,530.71,3.6
2.40737,530.54,3.61
2.4075,530.43,3.61
2.40762,530.41,3.61
2.40775,530.47,3.61
2.40787,530.57,3.61
2.408,530.69,3.62
2.40812,530.81,3.62
2.40825,530.95,3.62
2.40838,531.08,3.62
2.4085,531.23,3.63
2.40862,531.41,3.63
2.40875,531.66,3.63
2.40887,532,3.63
2.409,532.39,3.63
2.40912,532.83,3.64
2.40925,533.31,3.64
