name,MV,MV_err,period,plx,plx_err,LKH_corr,d,d_err,(m-M),(m-M)_err
l Car,-5.35,0.22,35.551341,2.01,0.2,-0.08,497.51,49.50,8.56,0.22
zet Gem,-4.03,0.15,10.15073,2.78,0.18,-0.03,359.71,23.29,7.81,0.14
bet Dor,-4.05,0.11,9.842425,3.14,0.16,-0.02,318.47,16.23,7.54,0.11
W Sgr,-3.97,0.2,7.594904,2.28,0.2,-0.06,438.60,38.47,8.27,0.19
X Sgr,-3.68,0.17,7.012877,3,0.18,-0.03,333.33,20.00,7.64,0.13
Y Sgr,-3.42,0.3,5.77338,2.13,0.29,-0.15,469.48,63.92,8.51,0.30
del Cep,-3.47,0.11,5.36627,3.66,0.15,-0.01,273.22,11.20,7.19,0.09
FF Aql,-3.05,0.15,4.470916,2.81,0.18,-0.03,355.87,22.80,7.79,0.14
T Vul,-3.24,0.28,4.435462,1.9,0.23,-0.12,526.32,63.71,8.73,0.26
RT Aur,-2.9,0.18,3.72819,2.4,0.19,-0.05,416.67,32.99,8.15,0.17
