Star,IM,Max,SNR,X,Y,Sky,Air,B-V,I-mag,estimate,active
105,-9.357,12752,170,1077.251,1233.948,215,1.152,0.25,10.141,19.498,TRUE
108,-9.215,12937,382,995.238,1328.468,223,1.152,0.626,10.127,19.342,TRUE
110,-10.733,52443,792,1174.724,1281.059,240,1.152,1.962,8.587,19.32,TRUE
110_1,-8.956,7771,113,1088.636,1225.871,249,1.152,0.348,10.587,19.543,TRUE
111,-8.724,7891,117,1012.287,1186.579,250,1.152,0.384,10.664,19.388,TRUE
112,-8.567,6461,137,1054.27,1094.777,232,1.153,0.376,10.76,19.327,TRUE
112_1,-8.574,6428,56,1039.934,1230.763,239,1.152,0.335,10.804,19.378,TRUE
113,-8.463,6908,158,1182.273,1264.455,220,1.152,0.319,10.917,19.38,TRUE
113_1,-9.34,13688,142,1034.426,1182.962,246,1.152,0.95,10.058,19.398,TRUE
113_2,-8.808,7652,316,945.974,1156.479,230,1.152,0.595,10.541,19.349,TRUE
114,-8.496,5499,245,1192.297,1201.809,225,1.152,0.363,10.921,19.417,TRUE
114_1,-9.521,15007,393,1171.324,1267.833,237,1.152,1.61,9.815,19.336,TRUE
114_2,-8.563,6659,99,1124.867,1227.963,270,1.152,0.412,10.866,19.429,TRUE
114_3,-8.436,5977,130,1125.434,1138.083,236,1.153,0.331,10.947,19.383,TRUE
114_4,-9.216,13080,231,1112.807,1111.891,242,1.153,1.198,10.088,19.304,TRUE
114_5,-9.605,17158,199,1099.604,1230.014,240,1.152,1.561,9.757,19.362,TRUE
114_6,-8.684,5597,273,1097.736,1074.45,226,1.153,0.314,10.923,19.607,TRUE
114_7,-8.39,5516,118,1047.194,1111.302,251,1.153,0.332,10.994,19.384,TRUE
114_8,-8.402,5971,254,1035.469,1364.468,220,1.152,0.314,10.997,19.399,TRUE
114_9,-9.562,16783,373,993.268,1093.652,230,1.153,1.704,9.735,19.297,TRUE
115,-9.497,16595,169,1120.023,1208.445,226,1.152,1.702,9.861,19.358,TRUE
115_1,-8.408,5198,91,1119.222,1247.178,235,1.152,0.416,10.973,19.381,TRUE
115_2,-8.396,5192,124,1072.877,1120.492,239,1.153,0.433,10.976,19.372,TRUE
115_3,-8.486,4573,112,1030.199,1224.915,262,1.152,0.309,11.135,19.621,TRUE
115_4,-9.427,15858,460,812.483,1108.019,218,1.152,1.661,9.872,19.299,TRUE
116,-9.193,11222,402,1292.234,977.922,222,1.153,1.484,10.144,19.337,TRUE
116_1,-8.174,4805,203,1188.688,999.051,216,1.153,0.375,11.186,19.36,TRUE
116_2,-8.283,4936,93,1042.382,1129.727,231,1.153,0.361,11.154,19.437,TRUE
116_3,-9.503,15925,351,1024.505,1247.16,235,1.152,1.696,9.851,19.354,TRUE
116_4,-8.348,5091,197,1014.261,1126.192,229,1.152,0.388,11.07,19.418,TRUE
116_5,-8.255,4927,242,931.021,979.062,220,1.153,0.419,11.056,19.311,TRUE
117,-8.219,4819,227,1209.876,1238.803,224,1.152,0.4,11.247,19.466,TRUE
117_1,-9.392,10388,413,1182.396,1176.733,233,1.153,1.451,10.235,19.627,TRUE
117_2,-8.045,4400,206,1141.979,1056.62,222,1.153,0.304,11.333,19.378,TRUE
117_3,-8.174,4299,43,1055.264,1192.664,277,1.152,0.389,11.2,19.374,TRUE
117_4,-8.31,4171,88,1054.343,1231.941,249,1.152,0.39,11.186,19.496,TRUE
117_5,-9.121,11296,375,1046.902,1008.067,221,1.153,1.497,10.191,19.312,TRUE
117_6,-8.194,4818,231,1016.702,1420.872,214,1.151,0.46,11.159,19.353,TRUE
117_7,-9.047,10251,355,939.01,1266.198,222,1.152,1.508,10.255,19.302,TRUE
118,-7.961,3756,162,1189.357,1111.189,222,1.153,0.312,11.412,19.373,TRUE
118_1,-8.318,4165,210,1178.232,1153.805,234,1.153,0.284,11.425,19.743,TRUE
118_10,-9.168,12748,406,854.527,1441.414,216,1.151,1.702,10.162,19.33,TRUE
118_2,-8.867,9944,327,1152.291,1057.323,220,1.153,1.207,10.477,19.344,TRUE
118_3,-8.36,4122,150,1143.804,1137.994,235,1.153,0.322,11.403,19.763,TRUE
118_4,-8.909,9828,324,1130.802,1007.956,221,1.153,1.393,10.422,19.331,TRUE
118_5,-9.126,9669,117,1081.364,1171.646,222,1.152,1.414,10.435,19.561,TRUE
118_6,-9.005,9833,335,1075.246,1381.998,219,1.152,1.561,10.304,19.309,TRUE
118_7,-8.061,4561,44,1057.827,1208.269,262,1.152,0.355,11.332,19.393,TRUE
118_8,-8.214,4021,70,1014.292,1144.185,222,1.152,0.404,11.26,19.474,TRUE
118_9,-8.082,4157,132,998.742,1241.829,228,1.152,0.369,11.326,19.408,TRUE
119,-7.834,3580,168,1228.391,1140.215,220,1.153,0.339,11.507,19.341,TRUE
119_1,-8.073,4281,107,1121.08,1191.686,225,1.152,0.391,11.393,19.466,TRUE
119_2,-8.874,7833,142,1119.593,1223.685,270,1.152,1.322,10.517,19.391,TRUE
119_3,-7.964,3348,39,1115.666,1230.888,253,1.152,0.367,11.504,19.468,TRUE
119_4,-8.24,3790,70,1075.19,1178.057,260,1.152,0.345,11.491,19.731,TRUE
119_5,-8.097,3763,65,1055.869,1132.714,223,1.153,0.36,11.429,19.526,TRUE
119_6,-7.834,3283,134,970.153,1288.914,221,1.152,0.337,11.496,19.33,TRUE
119_7,-8.896,8651,287,953.22,1203.956,225,1.152,1.473,10.397,19.293,TRUE
119_8,-8.917,8186,320,943.205,1282.877,220,1.152,1.54,10.373,19.29,TRUE
119_9,-7.988,4311,202,902.38,1020.973,218,1.153,0.436,11.346,19.334,TRUE
120,-8.332,4831,64,1102.862,1235.496,247,1.152,0.454,11.407,19.739,TRUE
120_1,-7.952,3592,33,1079.64,1187.833,215,1.152,0.415,11.478,19.43,TRUE
120_2,-8.037,3763,159,957.19,1194.181,227,1.152,0.416,11.463,19.5,TRUE
120_3,-7.769,3375,163,944.722,1237.182,225,1.152,0.329,11.552,19.321,TRUE
120_4,-7.824,3434,154,941.827,1117.467,223,1.152,0.394,11.504,19.328,TRUE
120_5,-7.629,2960,167,850.572,1412.56,214,1.151,0.264,11.692,19.321,TRUE
121,-7.954,3215,56,1080.448,1207.443,240,1.152,0.382,11.642,19.596,TRUE
121_1,-7.626,2780,89,1076.395,1037.835,215,1.153,0.35,11.723,19.349,TRUE
121_2,-7.649,3135,86,1066.499,1096.697,252,1.153,0.371,11.627,19.276,TRUE
121_3,-8.339,4444,195,905.979,1378.507,227,1.151,0.94,11.104,19.443,TRUE
122,-8.21,4838,184,1102.726,1073.961,226,1.153,0.35,11.76,19.97,TRUE
122_1,-7.773,2482,25,1069.501,1172.034,263,1.152,0.365,11.814,19.587,TRUE
122_2,-7.665,3018,105,946.603,1100.608,221,1.152,0.446,11.661,19.326,TRUE
122_3,-7.64,3325,158,826.7,1062.048,214,1.152,0.434,11.667,19.307,TRUE
123,-7.41,2624,137,1318.838,1059.289,220,1.153,0.328,11.946,19.356,TRUE
123_1,-7.657,2595,158,1281.754,1052.624,218,1.153,0.312,11.948,19.605,TRUE
123_2,-7.431,2601,126,1276.655,1365.759,219,1.152,0.364,11.912,19.343,TRUE
123_3,-7.59,2876,62,1146.958,1152.104,229,1.153,0.377,11.814,19.404,TRUE
123_4,-7.686,2201,49,1111.554,1203.141,260,1.152,0.432,11.797,19.483,TRUE
123_5,-7.533,2871,142,1090.281,992.483,219,1.153,0.407,11.829,19.362,TRUE
123_6,-7.571,2960,71,1084.434,1043.341,221,1.153,0.369,11.808,19.379,TRUE
123_7,-7.668,2667,123,879.329,1131.474,212,1.152,0.456,11.682,19.35,TRUE
124,-7.439,2858,22,1064.409,1194.237,264,1.152,0.445,11.897,19.336,TRUE
124_1,-7.399,2379,124,1032.943,949.232,220,1.153,0.334,11.945,19.344,TRUE
125,-7.337,2473,112,1210.895,1256.617,229,1.152,0.393,11.984,19.321,TRUE
125_1,-7.188,2211,76,1158.873,1178.892,230,1.153,0.34,12.178,19.366,TRUE
125_2,-8.01,2513,30,1064.023,1177.037,239,1.152,0.458,11.809,19.819,TRUE
125_3,-7.267,2034,33,1013.919,1212.255,243,1.152,0.324,12.115,19.382,TRUE
125_4,-7.29,2337,117,981.576,948.846,221,1.153,0.404,12.048,19.338,TRUE
125_5,-7.238,2362,113,908.549,982.77,221,1.153,0.34,12.087,19.325,TRUE
125_6,-7.454,2744,144,808.157,1015.36,216,1.153,0.502,11.86,19.314,TRUE
126,-7.235,2117,117,1268.439,1352.845,218,1.152,0.388,12.122,19.357,TRUE
126_1,-7.354,2446,76,1172.912,1224.368,224,1.152,0.408,12.067,19.421,TRUE
126_2,-7.23,2150,129,1139.211,1407.299,215,1.152,0.422,12.127,19.357,TRUE
126_3,-7.287,2127,71,1136.838,1185.189,227,1.152,0.395,12.12,19.407,TRUE
126_4,-7.37,1875,63,1129.024,1145.742,234,1.153,0.402,12.156,19.526,TRUE
126_5,-7.274,2118,65,1121.099,1148.468,241,1.153,0.395,12.104,19.378,TRUE
126_6,-7.527,2331,91,1094.717,1107.054,240,1.153,0.345,12.132,19.659,TRUE
126_7,-7.9,2088,99,1089.941,1130.282,232,1.153,0.351,12.121,20.021,TRUE
126_8,-7.308,2368,43,1069.147,1107.63,231,1.153,0.418,12.142,19.45,TRUE
126_9,-7.253,1938,108,943.795,953.446,217,1.153,0.352,12.103,19.356,TRUE
127,-7.648,1957,145,1235.539,1197.378,225,1.153,0.395,12.212,19.86,TRUE
127_1,-7.018,1823,77,1184.818,1143.897,227,1.153,0.305,12.316,19.334,TRUE
