Star,IM,Max,SNR,X,Y,Sky,Air,B-V,V-mag,estimate,active
105,-10.171,27036,285,1078.23,1233.389,381,1.148,0.25,10.513,20.684,TRUE
108,-9.703,17891,509,996.259,1327.924,395,1.147,0.626,10.863,20.566,TRUE
110,-9.436,15723,395,1175.755,1280.627,394,1.148,1.962,11.083,20.519,TRUE
110_1,-9.711,17058,172,1089.907,1225.314,384,1.148,0.348,11.072,20.783,TRUE
111,-9.449,13606,164,1013.427,1186.007,423,1.148,0.384,11.186,20.635,TRUE
112,-9.265,12743,222,1055.434,1094.264,415,1.148,0.376,11.292,20.557,TRUE
112_1,-9.324,12899,95,1040.94,1230.189,442,1.148,0.335,11.264,20.588,TRUE
113,-9.24,11932,310,1183.488,1263.868,382,1.148,0.319,11.344,20.584,TRUE
113_1,-9.39,14094,123,1035.617,1182.36,426,1.148,0.95,11.319,20.709,TRUE
113_2,-9.282,11137,413,947.126,1155.988,400,1.148,0.595,11.323,20.605,TRUE
114,-9.135,10727,373,1193.452,1201.253,404,1.148,0.363,11.446,20.581,TRUE
114_1,-9.127,11211,344,1172.518,1267.299,402,1.148,1.61,11.415,20.542,TRUE
114_2,-9.2,11829,162,1125.944,1227.561,437,1.148,0.412,11.42,20.62,TRUE
114_3,-9.215,12834,150,1126.644,1137.405,403,1.148,0.331,11.403,20.618,TRUE
114_4,-9.109,12627,167,1113.811,1111.351,432,1.148,1.198,11.455,20.564,TRUE
114_5,-9.312,10968,131,1100.834,1229.787,404,1.148,1.561,11.425,20.737,TRUE
114_6,-9.423,11004,424,1099.506,1073.783,400,1.148,0.314,11.414,20.837,TRUE
114_7,-9.16,12172,147,1048.015,1110.964,425,1.148,0.332,11.458,20.618,TRUE
114_8,-9.193,11857,403,1036.426,1363.939,391,1.147,0.314,11.413,20.606,TRUE
114_9,-9.071,10617,293,994.426,1093.124,405,1.148,1.704,11.473,20.544,TRUE
115,-9.026,9265,109,1121.288,1207.87,412,1.148,1.702,11.587,20.613,TRUE
115_1,-9.073,10179,132,1120.201,1246.745,414,1.148,0.416,11.519,20.592,TRUE
115_2,-9.042,9328,167,1074.082,1119.882,410,1.148,0.433,11.565,20.607,TRUE
115_3,-9.181,9343,166,1031.165,1224.679,450,1.148,0.309,11.562,20.743,TRUE
115_4,-9.009,10506,377,813.629,1107.461,385,1.148,1.661,11.561,20.57,TRUE
116,-8.933,9548,358,1293.25,977.524,391,1.149,1.484,11.627,20.56,TRUE
116_1,-8.878,9208,314,1189.708,998.629,385,1.149,0.375,11.698,20.576,TRUE
116_2,-8.981,8770,133,1043.6,1129.117,387,1.148,0.361,11.66,20.641,TRUE
116_3,-9.127,9854,202,1026.086,1246.414,401,1.148,1.696,11.668,20.795,TRUE
116_4,-9.023,9579,320,1015.249,1125.844,406,1.148,0.388,11.63,20.653,TRUE
116_5,-8.936,9089,350,932.057,978.636,392,1.148,0.419,11.63,20.566,TRUE
117,-8.903,9154,340,1210.931,1238.194,394,1.148,0.4,11.796,20.699,TRUE
117_1,-9.03,7204,323,1183.827,1176.114,404,1.148,1.451,11.728,20.758,TRUE
117_2,-8.836,8178,321,1143.094,1055.981,394,1.148,0.304,11.754,20.59,TRUE
117_3,-8.895,8354,65,1056.502,1192.208,463,1.148,0.389,11.717,20.612,TRUE
117_4,-8.903,8646,97,1055.229,1231.761,422,1.148,0.39,11.732,20.635,TRUE
117_5,-8.828,8625,304,1047.939,1007.653,387,1.148,1.497,11.713,20.541,TRUE
117_6,-8.814,8929,339,1017.744,1420.255,384,1.147,0.46,11.775,20.589,TRUE
117_7,-8.749,7340,300,940.067,1265.762,393,1.147,1.508,11.789,20.538,TRUE
118,-8.774,7904,289,1190.514,1110.587,394,1.148,0.312,11.814,20.588,TRUE
118_1,-9.022,8071,310,1179.702,1152.67,403,1.148,0.284,11.802,20.824,TRUE
118_10,-8.669,7702,307,855.554,1440.847,382,1.147,1.702,11.896,20.565,TRUE
118_2,-8.756,7741,310,1153.423,1056.763,393,1.148,1.207,11.82,20.576,TRUE
118_3,-9.096,7544,202,1145.224,1137.229,399,1.148,0.322,11.83,20.926,TRUE
118_4,-8.708,8103,265,1131.803,1007.545,389,1.149,1.393,11.856,20.564,TRUE
118_5,-8.893,7614,71,1082.469,1170.896,404,1.148,1.414,11.882,20.775,TRUE
118_6,-8.662,7267,285,1076.297,1381.555,390,1.147,1.561,11.868,20.53,TRUE
118_7,-8.796,8766,72,1058.859,1207.888,471,1.148,0.355,11.816,20.612,TRUE
118_8,-8.827,6943,126,1015.263,1143.256,393,1.148,0.404,11.851,20.678,TRUE
118_9,-8.837,7759,228,999.935,1241.267,399,1.148,0.369,11.826,20.663,TRUE
119,-8.616,7259,286,1229.654,1139.685,392,1.148,0.339,11.955,20.571,TRUE
119_1,-8.726,7371,140,1122.399,1190.896,398,1.148,0.391,11.915,20.641,TRUE
119_2,-9.084,11829,146,1121.446,1224.134,436,1.148,1.322,11.977,21.061,TRUE
119_3,-8.645,6281,77,1116.375,1230.564,445,1.148,0.367,11.99,20.635,TRUE
119_4,-8.917,7168,88,1076.092,1177.379,427,1.148,0.345,11.973,20.89,TRUE
119_5,-8.821,7345,108,1057.513,1132.017,413,1.148,0.36,11.926,20.747,TRUE
119_6,-8.604,6826,237,971.207,1288.459,395,1.147,0.337,11.948,20.552,TRUE
119_7,-8.649,7104,255,954.238,1203.518,398,1.148,1.473,11.92,20.569,TRUE
119_8,-8.568,6458,269,944.244,1282.444,395,1.147,1.54,11.958,20.526,TRUE
119_9,-8.648,7870,305,903.548,1020.433,391,1.148,0.436,11.937,20.585,TRUE
120,-8.737,6543,79,1103.937,1235.032,421,1.148,0.454,12.014,20.751,TRUE
120_1,-8.576,6960,47,1080.789,1187.169,379,1.148,0.415,12.072,20.648,TRUE
120_2,-8.679,6486,261,958.455,1193.479,394,1.148,0.416,12.021,20.7,TRUE
120_3,-8.582,6881,275,945.971,1236.616,395,1.147,0.329,12.003,20.585,TRUE
120_4,-8.521,6617,233,942.901,1116.878,394,1.148,0.394,12.049,20.57,TRUE
120_5,-8.549,7203,294,851.729,1411.997,382,1.147,0.264,12.052,20.601,TRUE
121,-8.532,5940,65,1081.823,1206.334,419,1.148,0.382,12.166,20.698,TRUE
121_1,-8.386,5999,142,1077.642,1037.314,389,1.148,0.35,12.198,20.584,TRUE
121_2,-8.438,6402,109,1067.64,1096.113,422,1.148,0.371,12.137,20.575,TRUE
121_3,-8.543,5840,229,907.33,1377.806,393,1.147,0.94,12.114,20.657,TRUE
122,-8.838,11004,278,1104.232,1073.339,398,1.148,0.35,12.231,21.069,TRUE
122_1,-8.591,4880,32,1070.683,1171.856,372,1.148,0.365,12.286,20.877,TRUE
122_2,-8.332,6266,171,947.814,1100.045,399,1.148,0.446,12.269,20.601,TRUE
122_3,-8.306,6138,253,827.646,1061.488,390,1.148,0.434,12.252,20.558,TRUE
123,-8.195,4979,234,1319.816,1058.813,389,1.149,0.328,12.369,20.564,TRUE
123_1,-8.431,5254,267,1282.717,1051.906,391,1.149,0.312,12.373,20.804,TRUE
123_2,-8.198,5236,223,1277.713,1365.275,387,1.147,0.364,12.391,20.589,TRUE
123_3,-8.261,5424,120,1147.904,1151.706,398,1.148,0.377,12.336,20.597,TRUE
123_4,-8.335,4345,74,1112.367,1202.73,419,1.148,0.432,12.351,20.686,TRUE
