jd,V_mag,err,grade
2451920.87,10.675,0.033,A
2451930.86,10.256,0.027,A
2451932.871,10.217,0.034,A
2451935.867,10.358,0.049,B
2452133.529,10.694,0.026,A
2452140.48,10.322,0.035,B
2452498.519,10.215,0.034,B
2452502.513,10.363,0.035,B
2452503.527,10.282,0.046,B
2452509.526,10.506,0.038,B
2452511.503,10.6,0.037,B
2452520.501,10.606,0.023,A
2452654.877,10.403,0.031,A
2452667.861,10.702,0.029,A
2452678.865,10.329,0.025,A
2452685.837,10.978,0.028,A
2452685.837,10.477,0.028,A
2452688.839,10.505,0.027,A
2452690.881,10.65,0.029,A
2452694.813,10.709,0.03,A
2452696.867,10.836,0.025,A
2452696.867,10.762,0.025,A
2452697.882,10.76,0.025,A
2452699.882,10.676,0.026,A
2452702.834,10.14,0.024,A
2452704.838,10.295,0.023,A
2452706.824,10.408,0.023,A
2452712.808,10.445,0.022,A
2452714.799,10.533,0.023,A
2452717.807,10.824,0.03,B
2452717.807,10.697,0.03,B
2452721.851,10.819,0.03,A
2452723.793,11.219,0.032,A
2452723.793,10.814,0.032,A
2452725.773,10.676,0.024,A
2452727.791,10.27,0.028,A
2452731.88,10.344,0.027,A
2452734.743,10.43,0.024,A
2452736.75,10.494,0.024,A
2452740.765,10.65,0.023,A
2452740.765,10.533,0.023,A
2452742.725,10.625,0.025,A
2452744.739,10.652,0.05,B
2452749.802,10.761,0.025,A
2452751.707,10.604,0.025,A
2452754.71,10.191,0.024,A
2452755.855,10.999,0.022,A
2452755.855,10.287,0.022,A
2452757.706,10.38,0.024,A
2452759.739,10.442,0.023,A
2452761.69,10.432,0.028,A
2452763.686,10.511,0.025,A
2452766.76,10.516,0.024,A
2452787.74,10.394,0.025,A
2452791.578,10.61,0.031,A
2452791.578,10.49,0.031,A
2452794.64,10.665,0.027,A
2452808.642,10.332,0.024,A
2452810.597,10.437,0.023,A
2452811.744,10.388,0.025,A
2452813.673,10.442,0.024,A
2452820.705,10.66,0.024,A
2452824.668,10.765,0.051,B
2452831.55,10.137,0.025,A
2452832.671,10.226,0.024,A
2452834.57,10.36,0.024,A
2452835.667,10.418,0.025,A
2452838.65,10.437,0.023,A
2452841.612,10.487,0.024,A
2452843.58,10.558,0.035,A
2452851.586,11.191,0.023,A
2452851.586,10.806,0.023,A
2452858.535,10.224,0.023,A
2452859.6,10.345,0.025,A
2452861.59,10.382,0.025,A
2452865.539,10.45,0.027,A
2452867.591,10.445,0.024,A
2452875.553,10.816,0.027,A
2452877.547,11.219,0.024,A
2452877.547,10.808,0.024,A
2452879.55,10.766,0.023,A
2452885.487,10.291,0.026,A
2452892.502,10.434,0.026,A
2452895.493,10.526,0.023,A
2452898.492,10.628,0.024,A
2452900.487,10.691,0.022,A
2452904.481,10.719,0.026,A
2453035.87,10.429,0.029,A
2453043.842,10.386,0.036,A
2453052.891,10.641,0.026,A
2453056.859,10.7,0.027,A
2453060.862,10.524,0.025,A
2453064.828,10.31,0.029,A
2453068.815,10.478,0.031,A
2453071.823,10.494,0.032,A
2453076.872,10.626,0.026,A
2453079.82,10.738,0.041,B
2453082.806,10.734,0.042,B
2453086.825,10.53,0.029,A
2453089.789,10.136,0.043,B
2453091.832,10.294,0.053,B
2453096.815,10.478,0.055,B
2453098.806,10.471,0.026,A
2453100.795,10.52,0.03,A
2453103.801,10.688,0.032,A
2453105.787,10.734,0.037,A
2453107.79,10.737,0.027,A
2453109.831,10.722,0.023,A
2453112.726,10.405,0.039,B
2453114.766,10.145,0.025,A
2453116.793,10.361,0.024,A
2453121.748,10.418,0.026,A
2453131.725,10.766,0.025,A
2453133.728,10.782,0.026,A
2453144.743,10.393,0.025,A
2453153.657,10.579,0.022,A
2453158.695,10.804,0.033,A
2453160.708,10.79,0.032,A
2453163.723,10.55,0.024,A
2453165.741,10.094,0.032,A
2453168.756,10.355,0.023,A
2453171.71,10.402,0.028,A
2453175.698,10.425,0.025,A
2453178.57,10.542,0.024,A
2453186.575,10.801,0.028,A
2453189.609,10.535,0.027,A
2453405.858,10.387,0.031,A
2453409.86,10.552,0.028,A
2453417.857,10.918,0.033,A
2453417.857,10.787,0.033,A
2453421.848,10.315,0.033,A
2453424.888,10.164,0.032,A
2453432.901,10.409,0.033,A
2453436.848,10.884,0.031,A
2453436.848,10.574,0.031,A
2453443.844,10.757,0.029,A
2453446.817,10.427,0.034,B
2453452.821,10.443,0.038,A
2453452.821,10.43,0.025,A
2453454.836,10.388,0.04,B
2453456.819,10.454,0.03,A
2453459.827,10.687,0.027,A
2453459.827,10.53,0.027,A
2453462.772,10.625,0.029,A
2453464.814,10.756,0.049,B
2453464.814,10.779,0.049,B
2453467.766,10.807,0.029,A
2453470.747,10.751,0.031,A
2453470.747,10.782,0.031,A
2453472.795,10.467,0.025,A
2453475.736,10.188,0.037,A
2453477.772,10.256,0.039,B
2453479.768,10.306,0.034,A
2453481.75,10.336,0.027,A
2453483.751,10.473,0.043,B
2453487.738,10.538,0.042,B
2453490.741,10.73,0.041,B
2453492.73,10.718,0.031,A
2453496.724,10.819,0.026,A
2453496.724,10.751,0.026,A
2453499.722,10.179,0.038,A
2453501.768,10.241,0.046,B
2453504.663,10.406,0.045,B
2453508.709,10.438,0.024,A
2453511.642,10.526,0.027,A
2453511.642,10.523,0.027,A
2453515.676,10.703,0.029,A
2453517.659,10.658,0.026,A
2453520.795,10.742,0.046,B
2453522.724,10.763,0.029,A
2453522.724,10.754,0.029,A
2453524.751,10.32,0.038,A
2453526.774,10.113,0.039,B
2453529.587,10.313,0.033,B
2453547.654,10.857,0.031,B
2453547.654,10.725,0.031,B
2453554.635,10.332,0.026,A
2453556.693,10.385,0.03,A
2453562.535,10.468,0.031,A
2453564.542,10.554,0.026,A
2453564.542,10.563,0.026,A
2453569.612,10.711,0.027,A
2453571.653,10.776,0.028,A
2453575.533,10.425,0.03,A
2453577.591,10.155,0.028,A
2453583.591,10.478,0.038,B
2453586.52,10.527,0.041,B
2453586.52,10.49,0.041,B
2453588.557,10.45,0.032,A
2453591.499,10.581,0.039,B
2453600.557,10.662,0.047,B
2453602.557,10.17,0.029,A
2453604.569,10.195,0.034,A
2453608.55,10.573,0.03,A
2453608.55,10.352,0.03,A
2453617.513,10.596,0.029,A
2453628.504,10.528,0.029,A
2453628.504,10.176,0.029,A
2453631.49,10.314,0.032,A
2453634.481,10.404,0.034,A
2453761.874,10.433,0.03,A
2453765.869,10.477,0.031,A
2453770.876,10.585,0.04,A
2453774.859,10.706,0.035,A
2453789.857,10.384,0.031,A
2453793.835,10.717,0.031,A
2453793.835,10.468,0.031,A
2453796.854,10.572,0.036,B
2453796.854,10.559,0.036,B
2453799.86,10.674,0.034,A
2453802.875,10.689,0.045,B
2453805.832,10.659,0.032,A
2453808.84,10.19,0.031,A
2453811.82,10.276,0.041,B
2453814.851,10.42,0.039,B
2453817.794,10.472,0.03,A
2453820.785,10.739,0.033,A
2453820.785,10.506,0.033,A
2453823.777,10.684,0.033,A
2453825.825,10.734,0.036,A
2453828.766,10.734,0.034,A
2453828.766,10.709,0.034,A
2453831.757,10.552,0.031,A
2453833.796,10.184,0.041,B
2453837.793,10.492,0.034,A
