# Cluster,ID,MJD,phase,J,E_J,H,E_H,K,E_K
NGC1904,V8,52410.6926,0.768,10.38,0.02,9.86,0.02,9.69,0.03
NGC1904,V8,52586.1033,0.041,10.21,0.03,9.67,0.02,9.51,0.02
NGC1904,V8,52627.0778,0.571,10.45,0.03,9.91,0.02,9.77,0.01
NGC1904,V8,52646.0534,0.817,10.25,0.03,9.77,0.02,9.58,0.02
NGC1904,V8,52665.0233,0.063,10.36,0.02,9.86,0.03,9.68,0.02
NGC1904,V8,52694.8237,0.449,10.55,0.03,10.04,0.02,9.88,0.02
NGC1904,V8,52713.8921,0.696,10.34,0.02,9.86,0.02,9.68,0.02
NGC1904,V8,52752.7671,0.199,10.38,0.03,9.87,0.02,9.68,0.02
NGC1904,V8,52832.2021,0.228,10.34,0.02,9.79,0.02,9.62,0.02
NGC1904,V8,52993.075,0.312,10.27,0.02,9.75,0.01,9.57,0.03
NGC1904,V8,53006.9818,0.492,10.46,0.02,9.93,0.01,9.75,0.01
NGC1904,V8,53231.1906,0.397,10.4,0.03,9.88,0.01,9.71,0.02
NGC1904,V8,53579.152,0.904,10.18,0.02,9.64,0.02,9.49,0.03
NGC2808,V10,52351.8047,0.176,13.87,0.03,13.48,0.03,13.4,0.04
NGC2808,V10,52370.9252,0.007,13.78,0.04,13.36,0.04,13.29,0.03
NGC2808,V10,52380.9979,0.713,13.78,0.03,13.5,0.02,13.4,0.03
NGC2808,V10,52396.8552,0.696,13.66,0.09,13.38,0.06,13.4,0.1
NGC2808,V10,52406.7286,0.289,99.99,0,13.49,0.05,13.36,0.11
NGC2808,V10,52413.7435,0.262,13.91,0.06,13.5,0.04,13.37,0.08
NGC2808,V10,52429.6919,0.297,13.91,0.08,13.51,0.05,13.44,0.08
NGC2808,V10,52586.1138,0.906,13.78,0.07,13.37,0.04,13.2,0.08
NGC2808,V10,52623.0463,0.827,13.8,0.04,13.43,0.04,13.38,0.04
NGC2808,V10,52627.0877,0.117,99.99,0,13.38,0.05,13.25,0.1
NGC2808,V10,52646.0856,0.879,13.77,0.03,13.4,0.02,13.34,0.04
NGC2808,V10,52664.0606,0.061,13.77,0.03,13.37,0.02,13.28,0.04
NGC2808,V10,52682.0453,0.249,13.94,0.04,13.5,0.03,13.43,0.04
NGC2808,V10,52686.0424,0.513,14.05,0.04,13.69,0.04,13.62,0.05
NGC2808,V10,52694.8481,0.501,14.12,0.05,13.68,0.04,13.59,0.05
NGC2808,V10,52711.8856,0.153,13.86,0.03,13.42,0.03,13.36,0.03
NGC2808,V10,52740.7702,0.515,14.1,0.04,13.69,0.05,13.63,0.05
NGC2808,V10,52753.8712,0.936,13.75,0.03,13.38,0.03,13.29,0.03
NGC2808,V10,52773.7725,0.21,13.88,0.03,13.48,0.02,13.39,0.03
NGC2808,V10,52823.6965,0.491,14.04,0.04,13.71,0.03,13.66,0.04
NGC2808,V10,52907.1537,0.767,13.8,0.05,13.48,0.04,13.42,0.06
