Cluster	ID	RA (J2000)	Dec. (J2000)	P	φ0	〈J〉	〈H〉	〈Ks〉	ΔJ	ΔH	ΔKs	Nobs	Flag
NGC 1904 	V8 	05:24:11.6 	-24:31:38 	77.2 	53046.168 	10.36 	9.84 	9.68 	0.38 	0.40 	0.39 	13 	 
NGC 2808 	V10 	09:11:56.9 	-64:53:23 	1.7653 	53001.125 	13.89 	13.54 	13.43 	0.45 	0.35 	0.46 	23* 	 
NGC 5139 	V1 	13:26:05.2 	-47:23:43 	29.3479 	53013.358 	9.40 	9.05 	8.99 	0.81 	0.73 	0.78 	15 	 
NGC 5139 	V29 	13:26:27.2 	-47:28:48 	14.7338 	53007.097 	10.43 	10.03 	9.93 	0.78 	0.82 	0.85 	40 	 
NGC 5139 	V48 	13:26:37.8 	-47:30:25 	4.474 	53000.367 	11.59 	11.14 	11.15 	0.60 	0.62 	0.76 	40* 	 
NGC 5272 	V154 	13:42:11.6 	+28:22:14 	15.2842 	53003.394 	11.45 	11.06 	10.99 	0.77 	0.65 	0.69 	14 	 
NGC 5904 	V42 	15:18:24.8 	+02:02:53 	25.738 	53020.219 	10.16 	9.85 	9.82 	0.70 	0.66 	0.76 	18 	 
NGC 5904 	V84 	15:18:36.2 	+02:04:16 	26.87 	53018.678 	10.20 	9.80 	9.71 	1.08 	0.95 	0.87 	18 	 
NGC 5986 	V13 	15:46:00.3 	-37:48:23 	40.62 	53009.380 	10.90 	10.22 	10.07 	0.23 	0.21 	0.20 	15 	n 
NGC 6093 	V1 	16:17:04.2 	-22:58:54 	16.304 	53004.337 	11.65 	11.23 	11.10 	0.83 	0.78 	0.80 	16 	 
NGC 6218 	V1 	16:47:16.7 	-01:57:59 	15.48 	53007.412 	10.24 	9.79 	9.64 	0.64 	0.61 	0.57 	20* 	 
NGC 6254 	V1 	16:57:10.1 	-04:05:36 	48.95 	53022.311 	9.07 	8.42 	8.23 	0.34 	0.33 	0.34 	18* 	 
NGC 6254 	V2 	16:57:11.7 	-04:04:00 	18.7226 	53013.656 	10.05 	9.61 	9.47 	0.90 	0.94 	0.88 	18* 	 
NGC 6254 	V3 	16:56:56.0 	-04:04:16 	7.831 	53007.484 	11.02 	10.55 	10.36 	0.45 	0.50 	0.58 	18* 	 
