star_id,Fe/H,E(B-V),Period,logP,type,ampB,B_magB0,B0,V_mag,V0,(B-V),(B-V)0,B0(M15)_obs,B0(M15)_pred,V0(M15)_obs,V0(M15)_pred,MB_obs,MB_pred,MV_obs,MV_pred,Ref
M28-V5,-1.44,0.37,0.644,-0.191,BL-H,0.9,15.8,14.28,,,,,15.4,15.36,,,0.62,0.58,,,W86
M28-V9,-1.44,0.37,0.661,-0.179,BL-H,1,15.8,14.3,,,,,15.4,15.34,,,0.62,0.56,,,W86
M28-V22,-1.44,0.37,0.995,-0.002,BL-H,0.65,15.4,13.88,,,,,15,15.04,,,0.22,0.26,,,W86
M15-V72,-2.15,0.1,1.139,0.057,BL-H,,15.55,15.14,15.08,14.77,0.47,0.37,15.14,14.94,14.77,14.62,-0.21,-0.09,-0.26,-0.41,DC67
Ome Cen-V43,-1.59,0.11,1.157,0.063,BL-H,1.02,13.82,13.37,13.36,13.02,0.46,0.35,14.75,14.93,14.36,14.61,-0.08,0.1,-0.5,-0.24,DC67
,,,,,,,14.04,13.59,13.64,13.3,0.4,0.29,14.97,14.93,14.64,14.61,0.14,0.1,-0.22,-0.24,G93
Ome Cen-V60,-1.59,0.11,1.35,0.13,BL-H,1.23,13.84,13.39,13.45,13.11,0.39,0.28,14.77,14.82,14.45,14.48,-0.06,-0.02,-0.41,-0.37,DC67
Ome Cen-V92,-1.59,0.11,1.345,0.129,BL-F,0.51,14.46,14.01,13.93,13.59,0.53,0.42,15.39,15.41,14.93,14.93,0.56,0.57,0.07,0.08,DC67
,,,,,,,14.49,14.04,13.92,13.58,0.57,0.46,15.42,15.41,14.92,14.93,0.59,0.57,0.06,0.08,K68
,,,,,,,14.45,14,13.93,13.59,0.52,0.41,15.38,15.41,14.93,14.93,0.55,0.57,0.07,0.08,G93
N6752-V1,-1.54,0.05,1.378,0.139,BL-H,0.98,13.4,13.2,12.97,12.82,0.43,0.38,14.8,14.8,14.46,14.46,-0.02,-0.02,-0.37,-0.37,L74
M15-V1,-2.15,0.1,1.437,0.158,BL-H,1.37,15.23,14.82,14.89,14.58,0.34,0.24,14.82,14.77,14.58,14.42,-0.21,-0.26,-0.45,-0.61,DC67
M13-V1,-1.65,0.03,1.4593,0.1641,BL-H,1.34,14.45,14.33,14.19,14.1,0.26,0.23,15.06,14.76,14.7,14.41,0.21,-0.1,-0.17,-0.46,PM77
,,,,,,,14.2,14.08,14,13.91,0.2,0.17,14.81,14.76,14.51,14.41,-0.04,-0.1,-0.36,-0.46,DH74
M56-V1,-1.94,0.2,1.51,0.179,BL-F,,16.05,15.23,15.46,14.84,0.59,0.39,15.2,15.32,14.79,14.84,0.24,0.37,-0.17,-0.12,WS85
