date,time,ra_centre,dec_centre,x_moon,y_moon,ra_moon,dec_moon,ra_fov_centre,dec_fov_centre
20230228,210026,77.83476,9.3018,1725,3215,78.83299650929405,27.557735012068356,86.52605240668315,2.316825492843638
20230301,205710,92.65466,5.8333,1375,3456,92.43909071126102,28.484869202444134,103.79645243453442,-5.126984674804607
20230302,221238,106.11969,13.0316,2161,2233,106.70096046826129,28.012938410733838,105.12563252817057,14.924988304311862
20230306,222643,129.74629,4.8424,3263,2367,156.71488952834562,15.457652119252037,132.4761316349465,6.000999592630928
20230308,024721,167.59639,-3.0315,1445,3060,169.21793222869385,9.21264710267979,174.5775769856255,-19.49599821062483
20230310,231525,186.29001,-22.0852,1494,3039,201.751420845807,-7.110898763783726,186.51358209706328,-32.19783551958897
20230312,000257,205.38243,-19.6584,1437,2671,213.7394427062862,-13.0396714457167,203.18570036957937,-34.3784667467818
20230313,055037,231.38987,-31.6809,1548,2719,228.92317721737564,-19.517214837544614,244.12447370996475,-38.75043600874495
20230315,061751,255.9745,-23.7852,1609,1949,257.8476755471449,-26.25210990687505,260.9280899956,-36.451340609304495
20230316,063722,269.66706,-19.055,1993,2019,273.84930677974717,-27.493244068234674,265.88404476530997,-33.42984439841699
20230319,062119,305.37148,-24.7099,1674,2631,321.0025742517844,-20.220055134917104,305.57393163933244,-31.50845919201751
20230320,061157,326.24245,-37.1021,1279,2612,335.4564457235245,-14.764727969369613,327.31617370229316,-36.395709206061404
20230329,212049,102.28791,4.6167,1610,3681,101.73167044095084,28.63595707983823,104.31543085500289,-8.768644616465368
20230330,214822,111.59561,-0.6297,1422,3585,115.31079173878352,27.458419950199946,118.05923769587235,-9.319920957019525
20230331,210727,107.59585,8.4458,3368,1431,128.04692193077432,25.13912918770891,108.15033871210238,11.505557206528673
20230401,214925,132.8863,6.0388,2112,2793,140.75283395981978,21.48531288077327,139.20196590139963,-1.2133757303142358
