x,y,star_id
925, 77,'bet Lup'
883, 137,'kap Cen'
1015, 437,'phi01 Lup'
838, 654,'del Lup'
1157, 536,'ome Lup'
1277, 879,'eta Lup'
748, 1107,'tau Lib'
668, 1167,'ups Lib'
181, 970,'sig Lib'
918, 1285,'rho Sco'
830, 1443,'pi Sco'
724, 1617,'del Sco'
684, 1789,'bet01 Sco'
1057, 1645,'sig Sco'
1169, 1666,'alp Sco'
1294, 1630,'tau Sco'
1616, 1433,'eps Sco'
2414, 281,'zet Ara'
2643, 370,'gam Ara'
2610, 429,'bet Ara'
2480, 813,'alp Ara'
2815, 925,'tet Ara'
2924, 1244,'alp Tel'
1906, 1047,'zet02 Sco'
2096, 1099,'eta Sco'
1751, 1260,'mu01 Sco'
2330, 1231,'tet Sco'
2355, 1435,'iot01 Sco'
2274, 1471,'kap Sco'
2129, 1533,'lam Sco'
2301, 1612,'G Sco'
2605, 1748,'eta Sgr'
2629, 1904,'eps Sgr'
217, 2666,'del Oph'
306, 2639,'eps Oph'
754, 2479,'zet Oph'
1311, 2452,'eta Oph'
1626, 2648,'xi Ser'
302, 3813,'kap Oph'
1133, 3848,'bet Oph'
1689, 2072,'tet Oph'
1755, 3093,'nu Oph'
1890, 3666,'eta Ser'
2318, 2033,'gam Sgr'
2490, 2138,'del Sgr'
2488, 2411,'lam Sgr'
2755, 2409,'phi Sgr'
2873, 2496,'sig Sgr'
2815, 2811,'xi02 Sgr'
2995, 2881,'pi Sgr'
1891, 3670,'eta Ser'
2223, 3439,'alp Sct'
2640, 3908,'lam Aql'
