jd,band,mag,mag_trans,err
2459540.645,V,12.425,12.44697624,0.004
2459541.655,V,12.309,12.33612996,0.004
2459542.744,V,12.204,12.23006032,0.004
2459543.728,V,12.172,12.19212868,0.003
2459544.725,V,12.055,12.08504716,0.003
2459546.753,V,11.997,12.02588028,0.003
2459547.718,V,11.977,12.00656096,0.003
2459548.81,V,12.003,12.02721276,0.003
2459550.732,V,11.965,11.996603,0.003
2459551.725,V,11.998,12.02999196,0.003
2459552.715,V,11.986,12.0156582,0.003
2459553.736,V,12.03,12.06199196,0.003
2459556.715,V,12.166,12.2034374,0.003
2459562.69,V,12.542,12.58031256,0.004
2459563.69,V,12.571,12.609896,0.004
2459564.725,V,12.642,12.678465,0.004
2459565.699,V,12.677,12.71083952,0.004
2459566.691,V,12.76,12.78664376,0.005
2459567.692,V,12.78,12.80362932,0.005
2459568.692,V,12.832,12.85669896,0.005
2459569.693,V,12.866,12.88855968,0.005
2459570.698,V,12.875,12.892017,0.005
2459572.685,V,13.027,13.03147304,0.006
2459573.69,V,13.105,13.10334692,0.006
2459575.682,V,13.157,13.15680552,0.007
2459579.69,V,13.363,13.36018004,0.007
2459580.694,V,13.466,13.45617876,0.007
2459540.646,R,12.325,12.37469627,0.004
2459541.657,R,12.262,12.32335071,0.004
2459542.745,R,12.146,12.20493186,0.004
2459543.73,R,12.053,12.09851827,0.003
2459544.726,R,12.038,12.10594756,0.003
2459546.754,R,11.968,12.03330882,0.003
2459547.72,R,11.955,12.02184808,0.003
2459548.811,R,11.926,11.98075386,0.003
2459550.733,R,11.964,12.03546588,0.003
2459551.726,R,12.001,12.07334546,0.003
2459552.716,R,11.965,12.03206798,0.003
2459553.737,R,12.033,12.10534546,0.003
2459556.717,R,12.225,12.30965958,0.004
2459562.692,R,12.61,12.69663863,0.005
2459563.693,R,12.645,12.732958,0.005
2459564.727,R,12.691,12.77346063,0.005
2459565.7,R,12.699,12.77552346,0.005
2459566.692,R,12.708,12.76825123,0.005
2459567.694,R,12.697,12.75043449,0.005
2459568.695,R,12.76,12.81585333,0.005
2459569.695,R,12.772,12.82301564,0.005
2459570.702,R,12.724,12.76248163,0.005
2459572.687,R,12.747,12.75711517,0.005
2459573.693,R,12.762,12.75826179,0.005
2459575.685,R,12.829,12.82856021,0.007
2459579.692,R,13.008,13.00162305,0.006
2459580.695,R,13.039,13.01679061,0.006
2459540.647,I,12.51,12.58336642,0.008
2459541.659,I,12.459,12.53900559,0.008
2459542.748,I,12.387,12.47037624,0.007
2459543.73,I,12.332,12.413027,0.007
2459544.729,I,12.347,12.44150961,0.007
2459546.756,I,12.337,12.43641238,0.007
2459547.721,I,12.351,12.45388517,0.007
2459548.812,I,12.369,12.47106804,0.007
2459550.735,I,12.412,12.52234146,0.007
2459551.729,I,12.501,12.61706136,0.008
2459552.718,I,12.481,12.59624423,0.008
2459553.739,I,12.584,12.70527055,0.009
2459556.718,I,12.74,12.86331337,0.009
2459562.694,I,13.061,13.17869562,0.011
2459563.694,I,13.053,13.1669164,0.011
2459564.737,I,13.042,13.14754084,0.01
2459565.703,I,13.015,13.11420809,0.01
2459566.69,I,12.993,13.08148329,0.01
2459567.701,I,12.968,13.05188694,0.01
2459568.692,I,12.945,13.02122637,0.01
2459569.692,I,12.948,13.02106,0.01
2459570.701,I,12.903,12.97054438,0.01
2459572.685,I,12.809,12.8514177,0.01
2459573.694,I,12.822,12.85777853,0.011
2459575.682,I,12.722,12.7422531,0.011
2459579.699,I,12.805,12.81268976,0.009
2459580.699,I,12.858,12.86058271,0.009
