JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459307.47583,15.037,0.02,,V,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.000 | THRU CLOUD GAPS,0,1.425,Z,,20.266,,SN 2021HIZ,AAVSO,STD,,,,
2459308.39931,14.7,,,CV,WKL,,,,X26454ER,,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459309.54167,14.2,,,Vis.,TYS,,136,143,X26453sh,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G.""",,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459309.62226,14.343,0.036,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210405,,1,,Z,,12.961,,SN 2021HIZ,AAVSO,STD,,,,
2459309.62273,14.385,0.052,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210405,,1,,Z,,13.587,,SN 2021HIZ,AAVSO,STD,,,,
2459310.34306,14.2,,,CV,WKL,,,,X26454ER,,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459310.45833,14.7,,,Vis.,OJR,,145,,Sky Chart - USNOA2 0,Glimpsed,,,Z,,,,SN 2021hiz,,STD,,,,
2459310.70740,14.050,0.074,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210408,,1,,Z,,12.987,,SN 2021HIZ,AAVSO,STD,,,,
2459310.70787,14.077,0.085,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210408,,1,,Z,,13.438,,SN 2021HIZ,AAVSO,STD,,,,
2459311.5903,14.01,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459311.66905,13.843,0.062,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210408,,1,,Z,,12.951,,SN 2021HIZ,AAVSO,STD,,,,
2459312.70604,13.682,0.050,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210408,,1,,Z,,12.842,,SN 2021HIZ,AAVSO,STD,,,,
2459312.70652,13.684,0.104,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210408,,1,,Z,,13.450,,SN 2021HIZ,AAVSO,STD,,,,
2459313.083,14.0,,,Vis.,BNK,K,136,146,X26441UX,APASS MAGS. MY SELECTION,,,Z,,,,SN 2021HIZ,AAVSO,STD,,,,
2459313.44019,13.569,0.012,,V,MMAO,,000-BNY-353,000-BNY-349,X26368T,,0,1.199,Z,-11.461,12.977,2459313.44019,SN 2021HIZ,AAVSO,STD,,,,
2459314.26806,13.917,,,TB,JPG,,UCAC4-486-054858,,X26454FP,,0,,Z,13.499,,,SN 2021hiz,AAVSO,STD,,,,
2459314.26806,13.371,,,TG,JPG,,UCAC4-486-054858,,X26454FP,,0,,Z,12.954,,,SN 2021hiz,AAVSO,STD,,,,
2459314.26806,12.999,,,TR,JPG,,UCAC4-486-054858,,X26454FP,,0,,Z,12.576,,,SN 2021hiz,AAVSO,STD,,,,
2459314.36458,13.19,0.002,,CV,DVLA,,000-BNY-348,,X26456ARY,40x20s stack @ 0.88 arcseconds/pixel,0,,Z,12.78,,,ZTF21aaqytjr,AAVSO,STD,,,,
2459315.33819,13.2,,,Vis.,HDAE,,130,136,X26453KJ,,,,Z,,,,SN 2021hiz,SAAF,STD,,,,
2459315.44750,13.369,0.009,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.188,Z,-11.895,12.980,2459315.44750,SN 2021HIZ,AAVSO,STD,,,,
2459315.51905,13.473,0.012,,V,SDI,,ensembled,,X26453DHQ,Standard Deviation from 5 measures 0.012,0,1.528,Z,,,,SN 2021hiz,BAA-VSS,STD,,,,
2459315.6111,13.39,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459315.61508,13.363,0.056,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.37,Z,,12.947,,SN 2021HIZ,AAVSO,STD,,,,
2459315.65337,13.341,0.027,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210411,,1,,Z,,12.940,,SN 2021HIZ,AAVSO,STD,,,,
2459315.65384,13.420,0.056,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210411,,1,,Z,,13.510,,SN 2021HIZ,AAVSO,STD,,,,
2459316.39515,13.1,,,Vis.,VSD,,130,,x26453kj,,,,Z,,,,SN 2021hiz,VVS,STD,,,,
2459316.62206,13.103,0.131,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.34,Z,,12.971,,SN 2021HIZ,AAVSO,STD,,,,
2459316.66395,13.269,0.064,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210412,,1,,Z,,12.937,,SN 2021HIZ,AAVSO,STD,,,,
2459316.66443,13.305,0.098,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210412,,1,,Z,,13.543,,SN 2021HIZ,AAVSO,STD,,,,
2459317.36184,13.330,0.012,,V,LMN,,ENSEMBLE,130,X26453FHT,C11ATIK383,0,1.600,Z,,12.995,,SN 2021HIZ,SAAF,STD,,,,
2459317.38403,13.2,,,CV,WKL,,,,X26454ER,,0,,Z,13.0,,,SN 2021hiz,BAV,STD,,,,
2459317.38501,13.298,0.0041,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.688,Z,,12.951,,SN 2021HIZ,AAVSO,STD,,,,
2459317.38605,13.253,0.028,,B,LMN,,ENSEMBLE,123,X26453FIC,C11ATIK383,0,1.540,Z,,12.947,,SN 2021HIZ,SAAF,STD,,,,
2459317.4292,13.3,,,Vis.,MUY,Y,130,136,X26453EQN,BRIGHT!,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459317.47632,13.303,0.02,,V,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.000 | NO HOST BACKGROUND SUBTR.,0,1.466,Z,,20.015,,SN 2021HIZ,AAVSO,STD,,,,
2459317.48069,13.214,0.046,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH,0,1.09,Z,,12.928,,SN 2021HIZ,AAVSO,STD,,,,
2459317.62569,13.2,,,Vis.,ALRB,,128,130,x26455o,VIS DIG PHOTO IMG 7855 BY ALRB,,,Z,,,,sn 2021hiz,,STD,,,,
2459317.7118,13.15,,,CV,MUY,,128,130,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459317.71936,13.231,0.015,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210413,,1,,Z,,12.940,,SN 2021HIZ,AAVSO,STD,,,,
2459317.71984,13.297,0.066,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210413,,1,,Z,,13.503,,SN 2021HIZ,AAVSO,STD,,,,
2459318.094,13.4,,,Vis.,BNK,,129,136,X26441UX,,,,Z,,,,SN 2021HIZ,AAVSO,STD,,,,
2459318.38368,13.248,0.0056,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,,Z,,12.940,,SN 2021HIZ,AAVSO,STD,,,,
2459318.39812,13.232,0.02,,V,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.000  | NO HOST BACKGROUND SUBTR.,0,1.445,Z,,19.894,,SN 2021HIZ,AAVSO,STD,,,,
2459318.44932,13.161,0.016,,B,EHEA,,ENSEMBLE,000-BNY-354,X26453BTO,STANDARD MAG:  K = 15.613,0,1.429,Z,,21.303,,SN 2021HIZ,AAVSO,STD,,,,
2459318.4535,13.2,,,Vis.,MUY,Y,130,136,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459318.59861,13.3,,,Vis.,ACN,,130,136,X26467DH,VISDIG; PHOTO ALRB 7896,,,Z,,,,SN 2021hiz,REA,STD,,,,
2459318.70883,13.030,0.035,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.42,Z,,12.952,,SN 2021HIZ,AAVSO,STD,,,,
2459318.70919,13.128,0.070,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210414,,1,,Z,,12.869,,SN 2021HIZ,AAVSO,STD,,,,
2459318.70968,13.195,0.073,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210414,,1,,Z,,13.576,,SN 2021HIZ,AAVSO,STD,,,,
2459319.33819,13.1,,,CV,WKL,,,,X26454ER,,0,,Z,13.0,,,SN 2021hiz,BAV,STD,,,,
2459319.4229,13.2,,,Vis.,MUY,Y,130,136,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459319.46793,13.152,0.0090,,CV,SUQ,,ENSEMBLE,000-BNY-349,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.412,Z,,12.962,,SN 2021HIZ,AAVSO,STD,,,,
2459319.49321,12.969,0.011,,V,GKEA,,ENSEMBLE,000-BNY-353,AAVSO X26458N,8 X 120S SUBS STACKED,0,,Z,,14.548,,SN 2021HIZ,AAVSO,STD,,,,
2459319.61512,13.181,0.029,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.34,Z,,12.948,,SN 2021HIZ,AAVSO,STD,,,,
2459319.61554,13.228,0.084,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210415,NO BACKGROUND SUBTRACTION.,1,,Z,,12.951,,SN 2021HIZ,AAVSO,STD,,,,
2459319.61716,13.196,0.122,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210415,NO BACKGROUND SUBTRACTION.,1,,Z,,13.523,,SN 2021HIZ,AAVSO,STD,,,,
2459320.4375,13.0,,,Vis.,HDAE,,130,136,X26459CGJ,,,,Z,,,,SN 2021hiz,SAAF,STD,,,,
2459320.44770,13.186,0.019,,V,LMN,,ENSEMBLE,130,X26459CQQ,C11ATIK383,0,1.533,Z,,12.958,,SN 2021HIZ,SAAF,STD,,,,
2459320.44980,13.263,0.046,,B,LMN,,ENSEMBLE,123,X26459CRI,C11ATIK383,0,1.537,Z,,13.013,,SN 2021HIZ,SAAF,STD,,,,
2459320.51117,13.225,,,V,SDI,,ensembled,,X26453DHQ,Standard Deviation 0.11 from 10 measures,0,1.533,Z,,,,SN 2021hiz,BAA-VSS,STD,,,,
