Primary target: NGC 3532
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-06 23:45:55
JD: 2459433.49022
Decimal date: 2021-08-06.99022
R.A.: 11:05:25.85
Dec.: -58:46:52.35
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350416527601-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
100	-9.406	7352	386	1718.916	1817.403	175	1.731	0.192	10.282	19.688	True		
100_1	-9.614	9168	434	1548.723	1772.628	175	1.729	0.132	10.181	19.795	True		
100_2	-9.101	5777	338	1489.760	674.605	176	1.730	0.772	10.815	19.916	True		
100_3	-9.618	9152	434	1429.033	521.346	174	1.729	0.116	10.173	19.791	True		
100_4	-9.606	10057	431	1066.626	1895.447	175	1.722	0.113	10.186	19.792	True		
100_5	-9.645	9834	439	597.879	1328.461	176	1.716	0.097	10.159	19.804	True		
100_6	-9.565	9296	422	570.281	1351.091	176	1.715	0.153	10.236	19.801	True		
100_7	-9.660	10774	439	295.999	210.417	174	1.713	0.209	10.210	19.870	True		
101	-9.356	7445	379	1922.044	1966.203	178	1.734	0.232	10.428	19.784	True		
101_1	-9.461	8316	399	1942.549	419.141	179	1.737	0.158	10.353	19.814	True		
101_10	-9.558	9085	420	618.409	1495.476	178	1.716	0.124	10.228	19.786	True		
101_11	-9.544	8961	417	168.183	1241.358	174	1.710	0.103	10.270	19.814	True		
101_12	-9.762	11147	463	86.300	383.159	173	1.710	-0.050	10.056	19.818	True		
101_2	-9.599	9980	428	1850.716	552.855	180	1.736	0.005	10.200	19.799	True		
101_3	-9.512	8649	411	1764.742	843.208	178	1.734	0.100	10.233	19.745	True		
101_4	-9.424	7741	394	1477.064	1464.423	175	1.728	0.159	10.278	19.702	True		
101_5	-8.725	4039	281	1415.662	603.334	175	1.729	1.199	11.321	20.046	True		
101_6	-9.326	7048	377	1311.920	864.048	172	1.727	0.258	10.426	19.752	True		
101_7	-9.321	7634	375	1194.456	352.308	174	1.726	0.232	10.425	19.746	True		
101_8	-9.550	9237	420	1164.087	1779.575	174	1.723	0.126	10.246	19.796	True		
101_9	-9.539	9254	417	1060.268	563.382	176	1.724	0.099	10.224	19.763	True		
102	-9.469	8445	403	1938.828	117.433	180	1.738	0.113	10.352	19.821	True		
