Primary target: NGC 3532
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-06 23:43:54
JD: 2459433.48882
Decimal date: 2021-08-06.98882
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350583551883-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
100	-8.721	4644	277	1719.918	1816.942	163	1.720	0.192	9.988	18.709	True		
100_1	-8.879	5581	302	1549.805	1772.020	164	1.718	0.132	10.011	18.890	True		
100_2	-9.305	6798	372	1491.226	674.087	161	1.719	0.772	9.582	18.887	True		
100_3	-8.877	5384	303	1430.593	520.704	159	1.718	0.116	9.997	18.874	True		
100_4	-8.832	5059	296	1067.882	1894.808	160	1.711	0.113	10.013	18.845	True		
100_5	-8.890	5306	304	599.193	1327.943	159	1.705	0.097	10.000	18.890	True		
100_6	-8.895	4880	306	571.442	1350.683	157	1.705	0.153	9.975	18.870	True		
100_7	-9.121	6721	338	297.207	209.997	163	1.702	0.209	9.807	18.928	True		
101	-8.804	5014	289	1923.717	1965.763	164	1.723	0.232	10.058	18.862	True		
101_1	-8.738	4669	281	1944.235	418.815	157	1.726	0.158	10.088	18.826	True		
101_10	-8.849	5233	296	619.487	1494.915	160	1.705	0.124	10.023	18.872	True		
101_11	-8.850	5398	298	169.378	1240.944	158	1.699	0.103	10.070	18.920	True		
101_12	-8.840	4455	295	87.619	382.780	161	1.699	-0.050	10.058	18.898	True		
101_2	-8.696	4357	279	1852.334	552.437	155	1.725	0.005	10.181	18.877	True		
101_3	-8.766	4697	286	1766.147	842.756	157	1.723	0.100	10.081	18.847	True		
101_4	-8.673	4328	272	1478.613	1463.854	162	1.718	0.159	10.036	18.709	True		
101_5	-9.457	8768	401	1417.361	602.721	161	1.718	1.199	9.466	18.923	True		
101_6	-8.803	4775	292	1313.284	863.590	162	1.716	0.258	10.019	18.822	True		
101_7	-8.768	5087	286	1196.001	352.037	155	1.715	0.232	10.027	18.795	True		
101_8	-8.831	5036	297	1165.691	1779.294	162	1.712	0.126	10.045	18.876	True		
101_9	-8.808	5132	292	1061.598	562.895	158	1.713	0.099	10.065	18.873	True		
102	-8.755	5477	286	1940.327	116.879	158	1.727	0.113	10.153	18.908	True		
102_1	-9.014	5562	325	1558.306	571.759	159	1.720	0.536	9.886	18.900	True		
102_2	-8.651	4015	270	1550.034	1227.958	162	1.719	0.144	10.185	18.836	True		
102_3	-8.680	4106	274	1284.780	232.281	155	1.717	0.158	10.186	18.866	True		
102_5	-8.937	5010	309	1096.268	1402.861	162	1.712	0.654	9.929	18.866	True		
102_6	-8.628	4243	264	775.306	999.793	163	1.708	0.141	10.197	18.825	True		
102_7	-8.761	4720	283	662.837	91.842	161	1.708	0.080	10.136	18.897	True		
102_8	-8.873	4815	302	561.180	1306.746	159	1.704	0.384	10.031	18.904	True		
102_9	-8.687	4136	271	315.311	1667.712	158	1.700	0.134	10.179	18.866	True		
103_1	-8.621	4394	268	1733.388	539.956	158	1.723	0.165	10.275	18.896	True		
103_3	-8.605	3959	265	1483.651	586.562	158	1.719	0.171	10.257	18.862	True		
103_4	-8.573	3646	260	1389.120	1942.846	161	1.715	0.186	10.308	18.881	True		
103_5	-8.551	4145	258	893.315	1290.223	165	1.709	0.178	10.267	18.818	True		
103_6	-8.675	4537	274	299.559	441.860	159	1.702	0.139	10.268	18.943	True		
103_7	-9.011	5514	322	134.761	1542.553	159	1.698	0.683	9.936	18.947	True		
104	-8.534	3754	246	1183.596	1553.857	164	1.713	0.179	10.306	18.840	True		
104_1	-8.491	3486	251	1089.246	1036.516	163	1.713	0.155	10.328	18.819	True		
105	-8.354	3512	234	1404.932	1036.818	164	1.717	0.211	10.499	18.853	True		
105_1	-8.407	3440	233	1115.259	1086.709	167	1.713	0.231	10.402	18.809	True		
105_2	-8.482	3595	248	838.402	478.622	159	1.710	0.182	10.397	18.879	True		
105_3	-8.482	3646	250	719.988	447.828	156	1.708	0.243	10.417	18.899	True		
105_4	-8.964	6201	311	418.019	1643.927	156	1.702	0.891	9.994	18.958	True		
105_5	-8.519	3905	251	135.714	1064.620	155	1.699	0.136	10.402	18.921	True		
105_6	-8.344	3172	226	122.786	1134.906	157	1.698	0.001	10.484	18.828	True		
106	-8.283	2904	227	1775.445	689.746	156	1.723	0.191	10.577	18.860	True		
106_1	-8.344	3206	231	1596.691	1481.867	162	1.719	0.205	10.511	18.855	True		
106_2	-8.345	2964	234	623.198	934.550	160	1.706	0.197	10.518	18.863	True		
107	-8.822	4983	290	1945.908	1815.929	162	1.724	1.222	10.082	18.904	True		
107_1	-8.370	3368	237	1720.111	1433.945	160	1.721	0.370	10.520	18.890	True		
