Primary target: NGC 3532
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-06 23:45:09
JD: 2459433.48969
Decimal date: 2021-08-06.98969
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350793387988-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
100	-9.256	8085	358	1720.850	1816.969	171	1.727	0.192	10.090	19.346	True		
100_1	-9.425	8849	393	1550.801	1772.329	167	1.725	0.132	10.049	19.474	True		
100_2	-9.284	8172	369	1491.911	674.503	165	1.726	0.772	10.043	19.327	True		
100_3	-9.395	8647	388	1430.929	520.848	166	1.725	0.116	10.057	19.452	True		
100_4	-9.396	8587	388	1068.676	1895.165	167	1.717	0.113	10.073	19.469	True		
100_5	-9.421	8657	393	599.682	1328.052	161	1.712	0.097	10.062	19.483	True		
100_6	-9.381	7714	386	571.958	1350.783	162	1.711	0.153	10.083	19.464	True		
100_7	-9.520	9987	407	297.914	210.185	162	1.709	0.209	10.001	19.521	True		
101	-9.217	6852	352	1924.120	1966.034	170	1.730	0.232	10.196	19.413	True		
101_1	-9.262	8241	360	1944.661	418.925	168	1.733	0.158	10.195	19.457	True		
101_10	-9.365	9495	380	620.090	1495.164	164	1.712	0.124	10.104	19.469	True		
101_11	-9.366	8963	381	169.954	1241.278	162	1.706	0.103	10.167	19.533	True		
101_12	-9.465	8059	400	87.922	382.831	163	1.706	-0.050	10.106	19.571	True		
101_2	-9.308	8546	372	1852.850	552.618	170	1.731	0.005	10.195	19.503	True		
101_3	-9.277	8242	366	1766.831	842.844	169	1.730	0.100	10.133	19.410	True		
101_4	-9.214	6730	354	1478.879	1463.969	167	1.724	0.159	10.119	19.333	True		
101_5	-9.138	7546	343	1417.872	603.063	163	1.725	1.199	10.122	19.260	True		
101_6	-9.214	7429	356	1313.938	863.788	163	1.723	0.258	10.168	19.382	True		
101_7	-9.180	7503	349	1196.539	352.044	163	1.722	0.232	10.193	19.373	True		
101_8	-9.357	9139	382	1166.211	1779.607	165	1.719	0.126	10.120	19.477	True		
101_9	-9.332	9201	376	1062.166	563.052	162	1.720	0.099	10.125	19.457	True		
102	-9.282	8160	366	1940.734	116.979	171	1.734	0.113	10.239	19.521	True		
102_1	-9.179	7859	350	1558.870	572.072	165	1.727	0.536	10.217	19.396	True		
102_2	-9.174	6628	347	1550.688	1228.048	165	1.726	0.144	10.240	19.414	True		
