Primary target: LMC V0432
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-09 23:30:43
JD: 2459436.47966
Decimal date: 2021-08-09.97966
R.A.: 11:05:25.84
Dec.: -58:46:52.36
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642181930157918-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
100	-9.597	11791	427	1718.979	1821.114	142	1.713	0.192	10.282	19.879	True		
100_1	-9.796	14532	473	1548.796	1776.365	142	1.711	0.132	10.181	19.977	True		
100_2	-9.310	10190	375	1489.934	678.295	139	1.712	0.772	10.815	20.125	True		
100_3	-9.815	15285	478	1429.185	524.865	140	1.711	0.116	10.173	19.988	True		
100_4	-9.802	15134	473	1066.794	1899.101	142	1.703	0.113	10.186	19.988	True		
100_5	-9.813	14507	477	597.955	1332.012	142	1.698	0.097	10.159	19.972	True		
100_6	-9.764	15932	465	570.166	1354.736	141	1.697	0.153	10.236	20.000	True		
100_7	-9.829	15623	479	296.181	214.158	141	1.695	0.209	10.210	20.039	True		
101	-9.620	13472	432	1922.224	1970.081	144	1.716	0.232	10.428	20.048	True		
101_1	-9.656	13043	441	1942.809	422.837	145	1.719	0.158	10.353	20.009	True		
101_10	-9.774	16486	467	618.460	1499.049	141	1.698	0.124	10.228	20.002	True		
101_11	-9.751	15622	461	168.213	1244.946	138	1.692	0.103	10.270	20.021	True		
101_12	-9.922	16116	500	86.410	386.719	138	1.692	-0.050	10.056	19.978	True		
101_2	-9.802	15200	473	1851.087	556.190	144	1.717	0.005	10.200	20.002	True		
101_3	-9.762	14451	463	1764.718	846.761	143	1.715	0.100	10.233	19.995	True		
101_4	-9.623	13184	434	1477.213	1468.030	138	1.710	0.159	10.278	19.901	True		
101_5	-8.922	6212	311	1415.871	606.832	138	1.711	1.199	11.321	20.243	True		
101_6	-9.537	13210	417	1311.988	867.338	139	1.709	0.258	10.426	19.963	True		
