Primary target: LMC V0432
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-09 23:28:46
JD: 2459436.47831
Decimal date: 2021-08-09.97831
R.A.: 11:06:32.87
Dec.: -58:43:39.33
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642182162338643-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
100	-8.932	7041	312	1717.488	1821.585	139	1.703	0.192	9.988	18.920	True		
100_1	-9.097	8345	340	1547.423	1776.825	138	1.700	0.132	10.011	19.108	True		
100_2	-9.563	13528	425	1488.617	679.042	135	1.701	0.772	9.582	19.145	True		
100_3	-9.060	7584	334	1427.902	525.362	134	1.701	0.116	9.997	19.057	True		
100_4	-9.015	7185	325	1065.288	1899.576	137	1.693	0.113	10.013	19.028	True		
100_5	-9.066	7950	334	596.589	1332.705	137	1.687	0.097	10.000	19.066	True		
100_6	-9.136	9388	346	568.776	1355.364	137	1.687	0.153	9.975	19.111	True		
100_7	-9.301	9473	370	294.582	214.895	139	1.685	0.209	9.807	19.108	True		
101	-9.058	6988	330	1921.085	1970.667	140	1.705	0.232	10.058	19.116	True		
101_1	-8.959	6904	316	1941.606	423.383	132	1.708	0.158	10.088	19.047	True		
101_10	-9.051	7489	328	616.917	1499.727	136	1.688	0.124	10.023	19.074	True		
101_11	-9.014	7688	324	166.547	1245.824	136	1.682	0.103	10.070	19.084	True		
101_12	-9.071	8459	333	84.931	387.528	139	1.682	-0.050	10.058	19.129	True		
101_2	-8.939	7263	315	1849.751	556.937	132	1.707	0.005	10.181	19.120	True		
101_3	-9.028	8145	327	1763.460	847.348	133	1.705	0.100	10.081	19.109	True		
101_4	-8.879	6698	304	1475.814	1468.517	137	1.700	0.159	10.036	18.915	True		
101_5	-9.680	13526	448	1414.618	607.388	137	1.700	1.199	9.466	19.146	True		
101_6	-9.025	8153	328	1310.664	868.103	136	1.698	0.258	10.019	19.044	True		
101_7	-8.966	6496	318	1193.379	356.524	135	1.697	0.232	10.027	18.993	True		
101_8	-9.031	7284	328	1162.981	1784.006	137	1.695	0.126	10.045	19.076	True		
101_9	-8.974	6809	320	1058.945	567.558	138	1.695	0.099	10.065	19.039	True		
102	-8.964	7442	318	1937.587	121.531	133	1.708	0.113	10.153	19.117	True		
102_1	-9.253	8978	366	1555.592	576.407	134	1.702	0.536	9.886	19.139	True		
102_2	-8.882	6752	306	1547.327	1232.517	139	1.701	0.144	10.185	19.067	True		
102_3	-8.918	6873	311	1282.071	237.078	136	1.699	0.158	10.186	19.104	True		
102_5	-9.162	9242	349	1093.511	1407.449	139	1.694	0.654	9.929	19.091	True		
102_6	-8.826	6481	295	772.600	1004.414	141	1.690	0.141	10.197	19.023	True		
102_7	-8.974	7506	317	660.385	96.767	139	1.690	0.080	10.136	19.110	True		
102_8	-9.108	9313	342	558.635	1311.280	135	1.687	0.384	10.031	19.139	True		
102_9	-8.920	7664	308	312.594	1672.295	136	1.683	0.134	10.179	19.099	True		
103_1	-8.817	6075	298	1730.700	544.653	134	1.705	0.165	10.275	19.092	True		
103_3	-8.823	6614	298	1480.921	591.220	136	1.701	0.171	10.257	19.080	True		
103_4	-8.795	6145	292	1386.539	1947.424	137	1.698	0.186	10.308	19.103	True		
103_5	-8.762	6466	288	890.814	1294.865	141	1.692	0.178	10.267	19.029	True		
103_6	-8.880	7453	304	297.133	446.731	134	1.685	0.139	10.268	19.148	True		
103_7	-9.225	9747	358	132.049	1547.244	140	1.681	0.683	9.936	19.161	True		
104	-8.759	6293	285	1180.963	1558.450	138	1.695	0.179	10.306	19.065	True		
104_1	-8.709	5870	279	1086.716	1040.999	140	1.695	0.155	10.328	19.037	True		
105	-8.570	5316	262	1402.434	1041.676	138	1.699	0.211	10.499	19.069	True		
105_1	-8.666	5918	273	1112.578	1091.228	138	1.695	0.231	10.402	19.068	True		
105_2	-8.686	5584	276	835.689	483.209	135	1.692	0.182	10.397	19.083	True		
105_3	-8.705	5974	282	717.530	452.386	134	1.691	0.243	10.417	19.122	True		
105_4	-9.145	8891	343	415.357	1648.401	138	1.684	0.891	9.994	19.139	True		
105_5	-8.705	5700	277	133.158	1069.257	134	1.681	0.136	10.402	19.107	True		
105_6	-8.595	5644	260	120.043	1139.642	135	1.681	0.001	10.484	19.079	True		
106	-8.514	4837	256	1772.731	694.393	133	1.705	0.191	10.577	19.091	True		
106_1	-8.564	5033	262	1594.240	1486.423	137	1.701	0.205	10.511	19.075	True		
106_2	-8.553	4705	261	620.793	939.031	136	1.688	0.197	10.518	19.071	True		
107	-9.031	7608	326	1943.268	1820.585	139	1.706	1.222	10.082	19.113	True		
107_1	-8.621	5430	269	1717.436	1438.495	137	1.703	0.370	10.520	19.141	True		
107_2	-8.409	4232	242	1529.942	1372.417	139	1.701	0.235	10.646	19.055	True		
107_3	-8.466	4429	246	919.650	1633.468	136	1.692	0.245	10.548	19.014	True		
107_4	-8.432	4666	243	619.086	1069.420	135	1.688	0.232	10.595	19.027	True		
107_5	-8.446	4598	243	591.810	1394.306	135	1.687	0.027	10.644	19.090	True		
107_6	-9.115	7930	342	546.464	242.916	135	1.688	1.168	10.059	19.174	True		
107_7	-8.617	5717	267	513.659	1589.694	133	1.686	0.357	10.504	19.121	True		
108	-8.349	4173	237	1430.575	493.523	134	1.701	0.224	10.719	19.068	True		
108_1	-8.537	4679	259	1072.978	600.013	134	1.695	0.416	10.553	19.090	True		
108_2	-8.400	4355	241	830.672	440.121	133	1.692	0.206	10.718	19.118	True		
108_3	-8.436	4667	247	679.628	1416.923	135	1.689	0.333	10.603	19.039	True		
108_4	-8.469	4967	250	381.569	988.299	134	1.685	0.209	10.653	19.122	True		
109	-8.644	5611	264	1805.744	1945.151	138	1.704	0.822	10.446	19.090	True		
109_1	-8.812	6201	297	1605.300	555.303	133	1.703	1.011	10.354	19.166	True		
109_2	-8.510	4765	254	1396.181	1619.027	137	1.698	0.517	10.588	19.098	True		
109_3	-8.339	4261	233	1253.077	317.124	134	1.698	0.227	10.766	19.105	True		
109_4	-8.273	3465	224	1196.963	1946.763	135	1.695	0.285	10.770	19.043	True		
109_5	-8.223	3596	216	1122.100	1750.183	137	1.694	0.286	10.797	19.020	True		
109_6	-8.719	5655	280	614.387	150.110	135	1.690	0.946	10.430	19.149	True		
109_7	-8.365	4489	239	529.560	943.895	133	1.687	0.284	10.737	19.102	True		
109_8	-8.704	5524	278	498.082	1622.138	134	1.686	0.888	10.434	19.138	True		
109_9	-8.360	4826	235	285.096	1712.674	136	1.683	0.261	10.766	19.126	True		
79	-11.470	56785	1019	1614.825	1240.676	147	1.702	0.607	7.545	19.015	True		
79_1	-11.721	55110	1139	1387.052	1207.924	151	1.699	1.552	7.100	18.821	True		
80	-11.053	48149	842	1732.582	1345.550	145	1.704	0.004	8.032	19.085	True		
80_1	-11.004	48544	828	1365.647	740.183	141	1.699	-0.078	8.066	19.070	True		
81	-10.856	38736	774	1574.053	1355.423	144	1.701	0.025	8.193	19.049	True		
81_1	-10.845	38654	768	1355.756	1297.608	144	1.698	0.020	8.184	19.029	True		
82	-11.546	55739	1057	695.228	829.929	148	1.690	1.512	7.415	18.961	True		
82_1	-10.822	42248	764	525.245	1740.372	144	1.686	-0.012	8.287	19.109	True		
83	-10.779	36628	746	1743.280	301.000	137	1.705	0.027	8.304	19.083	True		
83_1	-10.698	37305	719	1349.505	1061.635	144	1.699	0.004	8.341	19.039	True		
83_2	-10.354	25772	606	1136.259	936.587	145	1.696	0.008	8.316	18.670	True		
83_3	-10.745	39773	732	544.620	1201.304	144	1.687	0.011	8.331	19.076	True		
84	-10.522	27651	664	1000.929	1050.429	144	1.694	-0.072	8.509	19.031	True		
84_1	-10.640	33691	699	911.422	1697.610	142	1.691	-0.003	8.443	19.083	True		
84_2	-10.643	35385	701	883.257	1262.520	144	1.692	0.074	8.425	19.068	True		
84_3	-10.728	40519	731	340.068	1315.661	144	1.684	-0.009	8.404	19.132	True		
85	-10.481	28706	649	915.893	981.714	145	1.693	0.022	8.549	19.030	True		
86	-10.489	28025	654	1223.851	1392.674	141	1.696	-0.011	8.552	19.041	True		
86_1	-10.410	30261	629	659.103	1274.308	141	1.688	0.008	8.676	19.086	True		
88	-10.292	23942	597	1066.500	1540.217	139	1.694	0.065	8.783	19.075	True		
88_1	-10.226	22513	579	878.688	1466.616	141	1.691	0.046	8.810	19.036	True		
88_2	-10.330	26803	606	205.773	592.509	142	1.683	0.035	8.796	19.126	True		
89	-10.145	21567	557	1126.067	1242.244	142	1.695	0.046	8.894	19.039	True		
89_1	-10.062	20884	532	802.660	666.833	142	1.691	-0.016	8.971	19.033	True		
89_2	-10.149	22536	555	793.785	1332.866	141	1.690	0.131	8.900	19.049	True		
89_3	-10.173	19453	564	541.487	280.725	141	1.688	0.004	8.920	19.093	True		
89_4	-10.152	20077	558	139.552	1839.814	147	1.680	-0.008	8.940	19.092	True		
89_5	-10.197	24224	569	80.177	1513.567	139	1.680	-0.077	8.947	19.144	True		
90	-10.118	21479	550	1862.434	766.396	136	1.706	0.033	8.998	19.116	True		
90_1	-10.041	18249	531	1785.972	1408.507	138	1.704	0.104	9.052	19.093	True		
90_2	-10.087	19301	540	1031.835	1526.119	140	1.693	0.115	8.975	19.062	True		
90_3	-10.126	22404	554	583.620	488.416	141	1.689	0.025	8.975	19.101	True		
90_4	-10.131	19927	551	340.521	608.909	143	1.685	0.119	8.983	19.114	True		
91	-9.944	19100	507	1454.263	1117.297	141	1.700	0.036	9.126	19.070	True		
91_1	-9.846	16769	485	1029.526	709.278	138	1.695	0.009	9.194	19.040	True		
91_2	-10.021	18327	524	230.633	1577.811	140	1.682	0.055	9.087	19.108	True		
92_1	-10.147	19470	557	1879.105	1405.015	137	1.706	0.399	8.980	19.127	True		
92_2	-9.729	15628	457	1277.245	1380.712	142	1.697	0.071	9.250	18.979	True		
92_3	-9.832	16158	481	1244.484	1558.543	138	1.696	0.040	9.232	19.064	True		
92_4	-9.814	17666	477	817.732	1141.250	142	1.691	0.068	9.231	19.045	True		
92_5	-9.912	16903	500	536.625	667.085	139	1.688	0.030	9.170	19.082	True		
93	-9.703	13648	453	1312.951	1167.744	142	1.698	0.053	9.296	18.999	True		
94	-9.612	12521	433	1869.586	1315.556	138	1.706	0.024	9.469	19.081	True		
94_1	-9.621	12764	436	1710.504	1615.595	138	1.703	0.031	9.483	19.104	True		
94_2	-9.667	14526	446	1263.388	358.310	138	1.698	0.008	9.429	19.096	True		
94_3	-10.197	21136	569	1249.580	1621.598	140	1.696	1.063	8.920	19.117	True		
