Primary target: LMC V0432
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-09 23:29:58
JD: 2459436.47914
Decimal date: 2021-08-09.97914
R.A.: 11:04:12.65
Dec.: -58:41:53.58
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642182320458902-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
100	-9.449	12087	396	1719.310	1820.824	146	1.709	0.192	10.090	19.539	True		
100_1	-9.618	13907	432	1549.157	1776.094	143	1.707	0.132	10.049	19.667	True		
100_2	-9.490	12130	408	1490.385	678.106	138	1.708	0.772	10.043	19.533	True		
100_3	-9.589	12926	428	1429.728	524.518	139	1.707	0.116	10.057	19.646	True		
100_4	-9.585	12512	425	1067.141	1898.955	144	1.700	0.113	10.073	19.658	True		
100_5	-9.609	13061	432	598.422	1331.760	139	1.694	0.097	10.062	19.671	True		
100_6	-9.550	12125	419	570.608	1354.580	137	1.693	0.153	10.083	19.633	True		
100_7	-9.721	15038	452	296.547	213.723	141	1.691	0.209	10.001	19.722	True		
101	-9.486	11484	403	1922.730	1969.890	148	1.712	0.232	10.196	19.682	True		
101_1	-9.475	11963	404	1943.398	422.505	143	1.715	0.158	10.195	19.670	True		
101_10	-9.532	11901	413	618.711	1498.963	142	1.694	0.124	10.104	19.636	True		
101_11	-9.545	11864	416	168.421	1244.771	142	1.688	0.103	10.167	19.712	True		
101_12	-9.637	13188	435	86.684	386.282	142	1.688	-0.050	10.106	19.743	True		
101_2	-9.523	13605	414	1851.626	556.058	144	1.713	0.005	10.195	19.718	True		
101_3	-9.517	11644	412	1765.388	846.348	142	1.711	0.100	10.133	19.650	True		
101_4	-9.430	11783	394	1477.615	1467.803	145	1.706	0.159	10.119	19.549	True		
101_5	-9.351	10376	382	1416.486	606.581	138	1.707	1.199	10.122	19.473	True		
101_6	-9.419	12826	394	1312.603	867.211	135	1.705	0.258	10.168	19.587	True		
101_7	-9.379	9738	386	1195.192	355.730	138	1.704	0.232	10.193	19.572	True		
101_8	-9.533	12014	415	1164.894	1783.150	141	1.701	0.126	10.120	19.653	True		
101_9	-9.517	12383	414	1060.814	566.694	138	1.702	0.099	10.125	19.642	True		
102	-9.495	11491	408	1939.608	120.591	145	1.715	0.113	10.239	19.734	True		
102_1	-9.388	11048	389	1557.464	575.614	140	1.709	0.536	10.217	19.605	True		
102_2	-9.361	10137	383	1549.204	1231.780	145	1.708	0.144	10.240	19.601	True		
102_3	-9.369	9820	384	1283.951	236.160	139	1.705	0.158	10.295	19.664	True		
102_5	-9.227	9713	358	1095.406	1406.749	140	1.701	0.654	10.292	19.519	True		
102_6	-9.339	11188	377	774.498	1003.610	139	1.697	0.141	10.269	19.608	True		
102_7	-9.506	10993	408	662.119	95.793	140	1.697	0.080	10.218	19.724	True		
102_8	-9.340	11864	381	560.543	1310.400	140	1.693	0.384	10.295	19.635	True		
102_9	-9.386	11615	383	314.418	1671.562	140	1.689	0.134	10.290	19.676	True		
103_1	-9.319	10172	377	1732.585	543.788	142	1.711	0.165	10.363	19.682	True		
103_3	-9.274	9720	367	1482.754	590.339	142	1.708	0.171	10.365	19.639	True		
103_4	-9.266	10158	365	1388.306	1946.670	145	1.704	0.186	10.396	19.662	True		
103_5	-9.227	9609	359	892.729	1293.900	139	1.698	0.178	10.366	19.593	True		
103_6	-9.308	9212	371	299.126	445.691	138	1.691	0.139	10.398	19.706	True		
103_7	-9.203	8220	351	133.932	1546.338	142	1.687	0.683	10.395	19.598	True		
104	-9.225	8859	356	1182.836	1557.760	141	1.702	0.179	10.400	19.625	True		
104_1	-9.129	8393	340	1088.659	1040.094	139	1.701	0.155	10.439	19.568	True		
105	-9.021	8491	326	1404.453	1040.801	138	1.706	0.211	10.593	19.614	True		
105_1	-9.062	9862	328	1114.624	1090.407	137	1.701	0.231	10.530	19.592	True		
105_2	-9.115	8054	340	837.591	482.254	138	1.698	0.182	10.527	19.642	True		
105_3	-9.049	8084	330	719.347	451.336	141	1.697	0.243	10.595	19.644	True		
105_4	-9.011	8449	319	417.176	1647.783	141	1.691	0.891	10.524	19.535	True		
105_5	-9.170	7571	345	135.040	1068.345	139	1.688	0.136	10.517	19.687	True		
105_6	-9.114	7364	333	121.833	1138.667	138	1.687	0.001	10.547	19.661	True		
106	-8.983	7452	319	1774.513	693.670	140	1.712	0.191	10.688	19.671	True		
106_1	-9.006	6886	321	1596.066	1485.694	141	1.708	0.205	10.603	19.609	True		
106_2	-8.990	8255	321	622.619	938.149	135	1.695	0.197	10.655	19.645	True		
107	-8.772	6434	284	1945.058	1819.810	146	1.712	1.222	10.710	19.482	True		
107_1	-8.885	7101	303	1719.278	1437.780	143	1.710	0.370	10.732	19.617	True		
107_2	-8.822	6009	293	1531.822	1371.705	145	1.707	0.235	10.761	19.583	True		
107_3	-8.892	7290	302	921.494	1632.788	140	1.698	0.245	10.705	19.597	True		
107_4	-8.836	6832	293	620.962	1068.684	135	1.694	0.232	10.766	19.602	True		
107_5	-8.948	7344	308	593.757	1393.466	141	1.694	0.027	10.736	19.684	True		
107_6	-8.801	5634	289	548.260	241.855	140	1.695	1.168	10.718	19.519	True		
107_7	-8.894	6545	302	515.549	1588.860	136	1.692	0.357	10.740	19.634	True		
108	-8.779	6045	289	1432.489	492.667	139	1.707	0.224	10.858	19.637	True		
108_1	-8.788	6530	290	1074.850	599.029	136	1.702	0.416	10.826	19.614	True		
108_2	-8.832	7247	297	832.489	439.105	138	1.698	0.206	10.851	19.683	True		
108_3	-8.763	6310	286	681.479	1416.016	139	1.695	0.333	10.835	19.598	True		
108_4	-8.857	7053	300	383.340	987.244	139	1.691	0.209	10.815	19.672	True		
109	-8.539	5241	247	1807.418	1944.278	144	1.710	0.822	10.927	19.466	True		
109_1	-8.611	5210	266	1607.136	554.355	138	1.709	1.011	10.908	19.519	True		
109_2	-8.622	5044	265	1398.092	1618.398	143	1.705	0.517	10.920	19.542	True		
109_3	-8.706	5090	277	1255.020	316.180	137	1.705	0.227	10.932	19.638	True		
109_4	-8.681	5152	271	1198.845	1946.087	140	1.701	0.285	10.931	19.612	True		
109_5	-8.593	4639	262	1123.989	1749.442	139	1.701	0.286	10.986	19.579	True		
109_6	-8.572	4807	257	616.171	149.022	140	1.696	0.946	10.999	19.571	True		
109_7	-8.630	5101	268	531.575	942.752	137	1.693	0.284	10.991	19.621	True		
109_8	-8.614	4925	262	500.048	1621.386	137	1.692	0.888	10.950	19.564	True		
109_9	-8.716	5682	278	286.960	1711.768	141	1.689	0.261	10.962	19.678	True		
79	-11.509	56100	1039	1616.698	1239.810	151	1.708	0.607	7.906	19.415	True		
79_1	-11.355	54130	973	1388.883	1207.319	149	1.705	1.552	7.938	19.293	True		
80	-11.527	58015	1049	1734.582	1344.680	153	1.710	0.004	8.022	19.549	False		
80_1	-11.502	55111	1040	1367.590	739.164	150	1.706	-0.078	8.019	19.521	True		
81	-11.383	56406	985	1575.814	1354.716	150	1.708	0.025	8.189	19.572	True		
