jd,mag,err
2459310.725,13.993,0.02
2459312.706,13.658,0.018
2459315.657,13.28,0.012
2459316.664,13.238,0.011
2459317.719,13.154,0.012
2459318.707,13.117,0.012
2459322.612,13.196,0.012
2459323.609,13.163,0.011
2459324.636,13.179,0.011
2459334.659,13.54,0.017
2459340.654,13.915,0.02
2459344.614,14.143,0.025
2459345.614,14.242,0.026
2459352.642,14.538,0.038
2459360.568,14.79,0.051
2459361.565,14.612,0.044
2459368.563,14.852,0.043
2459374.563,14.92,0.052
2459376.56,15.026,0.051
2459377.553,15.007,0.044
2459379.556,15.073,0.053
